"",BBK01.TUB635,BBK01.TUB635_FLAGS
"","Liabilities to non-euro area residents denominated in foreign currency / deposits, balances and other liabilities / Deutsche Bundesbank",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:43:13,
2002-01,3296,
2002-02,3152,
2002-03,3028,
2002-04,2411,
2002-05,1583,
2002-06,2259,
2002-07,3008,
2002-08,2284,
2002-09,2757,
2002-10,2414,
2002-11,3139,
2002-12,1845,
2003-01,2164,
2003-02,2434,
2003-03,3440,
2003-04,1995,
2003-05,2659,
2003-06,3178,
2003-07,3036,
2003-08,3548,
2003-09,3607,
2003-10,3901,
2003-11,3217,
2003-12,2784,
2004-01,3134,
2004-02,3028,
2004-03,3052,
2004-04,3381,
2004-05,2696,
2004-06,3413,
2004-07,2597,
2004-08,1967,
2004-09,2031,
2004-10,1279,
2004-11,1465,
2004-12,2021,
2005-01,2680,
2005-02,2111,
2005-03,3054,
2005-04,2683,
2005-05,2612,
2005-06,2538,
2005-07,3028,
2005-08,2052,
2005-09,4115,
2005-10,3979,
2005-11,2911,
2005-12,2834,
2006-01,3017,
2006-02,2137,
2006-03,2478,
2006-04,1048,
2006-05,2360,
2006-06,2066,
2006-07,2599,
2006-08,1761,
2006-09,1329,
2006-10,1335,
2006-11,1429,
2006-12,1061,
2007-01,1616,
2007-02,1227,
2007-03,1309,
2007-04,2529,
2007-05,2989,
2007-06,2314,
2007-07,2234,
2007-08,2226,
2007-09,2575,
2007-10,2332,
2007-11,2018,
2007-12,1951,
2008-01,2600,
2008-02,3045,
2008-03,3260,
2008-04,4347,
2008-05,3199,
2008-06,3887,
2008-07,2970,
2008-08,2401,
2008-09,2061,
2008-10,3797,
2008-11,3031,
2008-12,2540,
2009-01,70,
2009-02,165,
2009-03,-,Nothing exists
2009-04,204,
2009-05,488,
2009-06,772,
2009-07,1216,
2009-08,928,
2009-09,76,
2009-10,545,
2009-11,4,
2009-12,-,Nothing exists
2010-01,220,
2010-02,279,
2010-03,147,
2010-04,288,
2010-05,171,
2010-06,244,
2010-07,329,
2010-08,453,
2010-09,146,
2010-10,114,
2010-11,247,
2010-12,159,
2011-01,151,
2011-02,106,
2011-03,209,
2011-04,285,
2011-05,252,
2011-06,69,
2011-07,148,
2011-08,101,
2011-09,226,
2011-10,216,
2011-11,4,
2011-12,-,Nothing exists
2012-01,0,
2012-02,261,
2012-03,158,
2012-04,397,
2012-05,445,
2012-06,160,
2012-07,3,
2012-08,257,
2012-09,-,Nothing exists
2012-10,172,
2012-11,259,
2012-12,76,
2013-01,517,
2013-02,699,
2013-03,566,
2013-04,615,
2013-05,623,
2013-06,717,
2013-07,146,
2013-08,682,
2013-09,183,
2013-10,100,
2013-11,683,
2013-12,37,
2014-01,780,
2014-02,607,
2014-03,1306,
2014-04,969,
2014-05,489,
2014-06,675,
2014-07,960,
2014-08,1399,
2014-09,1066,
2014-10,1419,
2014-11,1622,
2014-12,788,
