"",BBK01.OEBK06K,BBK01.OEBK06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:24,
2002-01,0.019,
2002-04,0.020,
2002-07,0.020,
2002-10,0.021,
2003-01,0.019,
2003-04,0.021,
2003-07,0.021,
2003-10,0.023,
2004-01,0.020,
2004-04,0.020,
2004-07,0.017,
2004-10,0.017,
2005-01,0.013,
2005-04,0.012,
2005-07,0.007,
2005-10,0.007,
2006-01,0.008,
2006-04,0.008,
2006-07,0.008,
2006-10,0.008,
2007-01,0.007,
2007-04,0.008,
2007-07,0.007,
2007-10,0.011,
2008-01,0.013,
2008-04,0.015,
2008-07,0.017,
2008-10,0.020,
2009-01,0.024,
2009-04,0.020,
2009-07,0.017,
2009-10,0.015,
2010-01,0.015,
2010-04,0.018,
2010-07,0.020,
2010-10,0.021,
2011-01,0.021,
2011-04,0.026,
2011-07,0.028,
2011-10,0.027,
2012-01,0.026,
2012-04,0.025,
2012-07,0.024,
2012-10,0.024,
2013-01,0.022,
2013-04,0.018,
2013-07,0.025,
2013-10,0.025,
2014-01,0.024,
2014-04,0.019,
2014-07,0.019,
