"",BBK01.OEAC21U,BBK01.OEAC21U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:58,
2002-01,0.051,
2002-04,0.057,
2002-07,0.058,
2002-10,0.045,
2003-01,0.051,
2003-04,0.048,
2003-07,0.051,
2003-10,0.039,
2004-01,0.045,
2004-04,0.047,
2004-07,0.046,
2004-10,0.033,
2005-01,0.035,
2005-04,0.041,
2005-07,0.046,
2005-10,0.038,
2006-01,0.044,
2006-04,0.046,
2006-07,0.044,
2006-10,0.033,
2007-01,0.031,
2007-04,0.044,
2007-07,0.046,
2007-10,0.032,
2008-01,0.031,
2008-04,0.042,
2008-07,0.044,
2008-10,0.037,
2009-01,0.043,
2009-04,0.060,
2009-07,0.068,
2009-10,0.060,
2010-01,0.044,
2010-04,0.062,
2010-07,0.059,
2010-10,0.036,
2011-01,0.039,
2011-04,0.054,
2011-07,0.061,
2011-10,0.046,
2012-01,0.046,
2012-04,0.069,
2012-07,0.072,
2012-10,0.049,
2013-01,0.046,
2013-04,0.058,
2013-07,0.063,
2013-10,0.046,
2014-01,0.049,
2014-04,0.067,
2014-07,0.074,
