"",BBFN1.M.DE.N.1.L.SI.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SI.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Slovenia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:04,
1994-07,0.073,
1994-08,0.076,
1994-09,0.082,
1994-10,0.095,
1994-11,0.098,
1994-12,0.109,
1995-01,0.101,
1995-02,0.109,
1995-03,0.116,
1995-04,0.105,
1995-05,0.112,
1995-06,0.115,
1995-07,0.111,
1995-08,0.099,
1995-09,0.101,
1995-10,0.107,
1995-11,0.109,
1995-12,0.108,
1996-01,0.109,
1996-02,0.122,
1996-03,0.106,
1996-04,0.098,
1996-05,0.103,
1996-06,0.103,
1996-07,0.101,
1996-08,0.095,
1996-09,0.102,
1996-10,0.102,
1996-11,0.095,
1996-12,0.085,
1997-01,0.088,
1997-02,0.090,
1997-03,0.101,
1997-04,0.095,
1997-05,0.095,
1997-06,0.098,
1997-07,0.101,
1997-08,0.093,
1997-09,0.100,
1997-10,0.102,
1997-11,0.103,
1997-12,0.095,
1998-01,0.080,
1998-02,0.107,
1998-03,0.095,
1998-04,0.096,
1998-05,0.111,
1998-06,0.111,
1998-07,0.108,
1998-08,0.097,
1998-09,0.104,
1998-10,0.106,
1998-11,0.111,
1998-12,0.103,
1999-01,0.105,
1999-02,0.124,
1999-03,0.135,
1999-04,0.126,
1999-05,0.121,
1999-06,0.134,
1999-07,0.132,
1999-08,0.125,
1999-09,0.128,
1999-10,0.151,
1999-11,0.143,
1999-12,0.129,
2000-01,0.154,
2000-02,0.157,
2000-03,0.170,
2000-04,0.168,
2000-05,0.151,
2000-06,0.176,
2000-07,0.168,
2000-08,0.147,
2000-09,0.157,
2000-10,0.165,
2000-11,0.180,
2000-12,0.207,
2001-01,0.160,
2001-02,0.166,
2001-03,0.171,
2001-04,0.160,
2001-05,0.170,
2001-06,0.189,
2001-07,0.168,
2001-08,0.167,
2001-09,0.166,
2001-10,0.180,
2001-11,0.186,
2001-12,0.165,
2002-01,0.181,
2002-02,0.192,
2002-03,0.175,
2002-04,0.157,
2002-05,0.151,
2002-06,0.165,
2002-07,0.171,
2002-08,0.154,
2002-09,0.176,
2002-10,0.174,
2002-11,0.186,
2002-12,0.162,
2003-01,0.151,
2003-02,0.170,
2003-03,0.176,
2003-04,0.184,
2003-05,0.174,
2003-06,0.179,
2003-07,0.165,
2003-08,0.156,
2003-09,0.177,
2003-10,0.198,
2003-11,0.191,
2003-12,0.172,
2004-01,0.186,
2004-02,0.174,
2004-03,0.180,
2004-04,0.168,
2004-05,0.166,
2004-06,0.172,
2004-07,0.162,
2004-08,0.180,
2004-09,0.209,
2004-10,0.169,
2004-11,0.171,
2004-12,0.171,
2005-01,0.149,
2005-02,0.148,
2005-03,0.157,
2005-04,0.157,
2005-05,0.151,
2005-06,0.175,
2005-07,0.164,
2005-08,0.147,
2005-09,0.169,
2005-10,0.186,
2005-11,0.210,
2005-12,0.188,
2006-01,0.186,
2006-02,0.174,
2006-03,0.177,
2006-04,0.159,
2006-05,0.170,
2006-06,0.169,
2006-07,0.172,
2006-08,0.152,
2006-09,0.168,
2006-10,0.189,
2006-11,0.183,
2006-12,0.185,
2007-01,0.171,
2007-02,0.187,
2007-03,0.194,
2007-04,0.199,
2007-05,0.196,
2007-06,0.207,
2007-07,0.204,
2007-08,0.200,
2007-09,0.221,
2007-10,0.209,
2007-11,0.221,
2007-12,0.188,
2008-01,0.187,
2008-02,0.200,
2008-03,0.213,
2008-04,0.221,
2008-05,0.197,
2008-06,0.219,
2008-07,0.220,
2008-08,0.203,
2008-09,0.207,
2008-10,0.211,
2008-11,0.221,
2008-12,0.204,
2009-01,0.179,
2009-02,0.178,
2009-03,0.191,
2009-04,0.185,
2009-05,0.184,
2009-06,0.184,
2009-07,0.192,
2009-08,0.179,
2009-09,0.205,
2009-10,0.209,
2009-11,0.204,
2009-12,0.195,
2010-01,0.170,
2010-02,0.199,
2010-03,0.182,
2010-04,0.196,
2010-05,0.193,
2010-06,0.194,
2010-07,0.178,
2010-08,0.157,
2010-09,0.195,
2010-10,0.190,
2010-11,0.195,
2010-12,0.215,
2011-01,0.203,
2011-02,0.233,
2011-03,0.249,
2011-04,0.246,
2011-05,0.249,
2011-06,0.267,
2011-07,0.258,
2011-08,0.256,
2011-09,0.262,
2011-10,0.262,
2011-11,0.271,
2011-12,0.246,
2012-01,0.221,
2012-02,0.242,
2012-03,0.279,
2012-04,0.260,
2012-05,0.256,
2012-06,0.267,
2012-07,0.244,
2012-08,0.225,
2012-09,0.252,
2012-10,0.254,
2012-11,0.257,
2012-12,0.235,
2013-01,0.225,
2013-02,0.237,
2013-03,0.265,
2013-04,0.241,
2013-05,0.232,
2013-06,0.245,
2013-07,0.221,
2013-08,0.202,
2013-09,0.245,
2013-10,0.227,
2013-11,0.232,
2013-12,0.216,
2014-01,0.207,
2014-02,0.243,
2014-03,0.249,
2014-04,0.254,
2014-05,0.254,
2014-06,0.248,
2014-07,0.244,
2014-08,0.219,
2014-09,0.244,
2014-10,0.245,
2014-11,0.253,
2014-12,0.225,
