"",BBK01.OEAC60V,BBK01.OEAC60V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:14,
2002-01,1.440,
2002-04,1.420,
2002-07,1.403,
2002-10,1.373,
2003-01,1.390,
2003-04,1.358,
2003-07,1.341,
2003-10,1.321,
2004-01,1.295,
2004-04,1.278,
2004-07,1.226,
2004-10,1.196,
2005-01,1.170,
2005-04,1.160,
2005-07,1.129,
2005-10,1.112,
2006-01,1.048,
2006-04,1.040,
2006-07,1.037,
2006-10,1.040,
2007-01,1.019,
2007-04,1.011,
2007-07,0.994,
2007-10,0.981,
2008-01,0.975,
2008-04,0.960,
2008-07,0.960,
2008-10,0.957,
2009-01,0.949,
2009-04,0.986,
2009-07,0.979,
2009-10,0.907,
2010-01,0.945,
2010-04,0.945,
2010-07,0.960,
2010-10,0.946,
2011-01,0.946,
2011-04,0.943,
2011-07,0.936,
2011-10,0.907,
2012-01,0.902,
2012-04,0.915,
2012-07,0.903,
2012-10,0.896,
2013-01,0.881,
2013-04,0.878,
2013-07,0.888,
2013-10,0.893,
2014-01,0.881,
2014-04,0.879,
2014-07,0.880,
