"",BBK01.OEBI08P,BBK01.OEBI08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:02,
2002-01,0.400,
2002-04,0.358,
2002-07,0.350,
2002-10,0.370,
2003-01,0.372,
2003-04,0.388,
2003-07,0.425,
2003-10,0.432,
2004-01,0.418,
2004-04,0.414,
2004-07,0.430,
2004-10,0.463,
2005-01,0.825,
2005-04,0.830,
2005-07,0.838,
2005-10,0.849,
2006-01,0.844,
2006-04,0.830,
2006-07,0.805,
2006-10,0.791,
2007-01,0.796,
2007-04,0.786,
2007-07,0.792,
2007-10,0.809,
2008-01,0.809,
2008-04,0.819,
2008-07,0.795,
2008-10,0.805,
2009-01,0.823,
2009-04,0.865,
2009-07,0.916,
2009-10,0.964,
2010-01,0.991,
2010-04,0.975,
2010-07,0.983,
2010-10,1.027,
2011-01,0.985,
2011-04,0.936,
2011-07,0.917,
2011-10,0.932,
2012-01,0.990,
2012-04,0.970,
2012-07,0.962,
2012-10,0.976,
2013-01,0.962,
2013-04,0.946,
2013-07,0.922,
2013-10,0.916,
2014-01,0.886,
2014-04,0.867,
2014-07,0.872,
