"",BBK01.OEAC04H,BBK01.OEAC04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:50,
2002-01,11.948,
2002-04,11.996,
2002-07,11.518,
2002-10,10.996,
2003-01,10.924,
2003-04,10.800,
2003-07,10.600,
2003-10,10.379,
2004-01,10.150,
2004-04,10.039,
2004-07,9.765,
2004-10,9.310,
2005-01,9.395,
2005-04,9.188,
2005-07,9.046,
2005-10,8.635,
2006-01,8.804,
2006-04,8.872,
2006-07,8.813,
2006-10,8.395,
2007-01,8.472,
2007-04,8.566,
2007-07,8.518,
2007-10,8.276,
2008-01,8.370,
2008-04,8.358,
2008-07,8.295,
2008-10,8.793,
2009-01,9.602,
2009-04,9.968,
2009-07,10.000,
2009-10,9.595,
2010-01,9.808,
2010-04,10.115,
2010-07,9.996,
2010-10,9.720,
2011-01,10.108,
2011-04,10.282,
2011-07,10.673,
2011-10,10.533,
2012-01,10.585,
2012-04,10.724,
2012-07,10.814,
2012-10,10.503,
2013-01,10.865,
2013-04,10.945,
2013-07,11.056,
2013-10,10.852,
2014-01,11.127,
2014-04,11.345,
2014-07,11.370,
