"",BBSF2.M.1.S.I1252.IMM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.IMM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:23,
2009-09,148,
2009-10,22,
2009-11,60,
2009-12,137,
2010-01,93,
2010-02,4,
2010-03,20,
2010-04,19,
2010-05,55,
2010-06,7,
2010-07,34,
2010-08,132,
2010-09,40,
2010-10,61,
2010-11,133,
2010-12,111,
2011-01,53,
2011-02,54,
2011-03,87,
2011-04,30,
2011-05,-,Nothing exists
2011-06,8,
2011-07,22,
2011-08,-,Nothing exists
2011-09,52,
2011-10,34,
2011-11,14,
2011-12,64,
2012-01,31,
2012-02,22,
2012-03,21,
2012-04,15,
2012-05,2,
2012-06,161,
2012-07,72,
2012-08,5,
2012-09,8,
2012-10,54,
2012-11,1,
2012-12,150,
2013-01,68,
2013-02,23,
2013-03,141,
2013-04,18,
2013-05,10,
2013-06,96,
2013-07,11,
2013-08,38,
2013-09,5,
2013-10,52,
2013-11,174,
2013-12,149,
2014-01,1,
2014-02,9,
2014-03,12,
2014-04,12,
2014-05,25,
2014-06,224,
2014-07,132,
2014-08,2,
2014-09,-,Nothing exists
2014-10,196,
2014-11,10,
