"",BBFB1.M.N.DE.W1.S12K.S1.T.D.D4P.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12K.S1.T.D.D4P.O.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Other Investment income / Monetary financial institutions / Dividends on shares / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:51,
1991-01,1629.415,
1991-02,1620.498,
1991-03,1627.713,
1991-04,1636.876,
1991-05,1652.653,
1991-06,1613.700,
1991-07,1632.107,
1991-08,1650.130,
1991-09,1683.334,
1991-10,1664.068,
1991-11,1678.855,
1991-12,1697.199,
1992-01,1748.752,
1992-02,1756.174,
1992-03,1778.658,
1992-04,1801.057,
1992-05,1822.318,
1992-06,1834.875,
1992-07,1829.619,
1992-08,1809.241,
1992-09,1826.292,
1992-10,1842.194,
1992-11,1836.842,
1992-12,1867.980,
1993-01,1904.102,
1993-02,1855.992,
1993-03,1826.277,
1993-04,1784.411,
1993-05,1722.024,
1993-06,1718.254,
1993-07,1688.186,
1993-08,1642.168,
1993-09,1615.196,
1993-10,1595.252,
1993-11,1548.394,
1993-12,1507.647,
1994-01,1498.770,
1994-02,1527.790,
1994-03,1542.795,
1994-04,1605.594,
1994-05,1633.091,
1994-06,1647.676,
1994-07,1673.535,
1994-08,1721.355,
1994-09,1725.922,
1994-10,1748.318,
1994-11,1790.785,
1994-12,1805.657,
1995-01,1852.155,
1995-02,1842.726,
1995-03,1884.090,
1995-04,1879.192,
1995-05,1902.797,
1995-06,1908.115,
1995-07,1923.902,
1995-08,1920.840,
1995-09,1917.673,
1995-10,1940.832,
1995-11,1916.469,
1995-12,1926.800,
1996-01,1907.850,
1996-02,1903.837,
1996-03,1917.575,
1996-04,1951.976,
1996-05,1951.678,
1996-06,1956.876,
1996-07,2078.822,
1996-08,2108.392,
1996-09,2121.543,
1996-10,2125.497,
1996-11,2224.967,
1996-12,2250.201,
1997-01,2307.927,
1997-02,2338.396,
1997-03,2381.198,
1997-04,2440.189,
1997-05,2485.339,
1997-06,2522.816,
1997-07,2462.775,
1997-08,2441.637,
1997-09,2475.615,
1997-10,2497.064,
1997-11,2458.199,
1997-12,2504.041,
1998-01,2472.462,
1998-02,2491.274,
1998-03,2497.526,
1998-04,2538.086,
1998-05,2544.820,
1998-06,2557.351,
1998-07,2640.735,
1998-08,2642.339,
1998-09,2632.610,
1998-10,2639.992,
1998-11,2699.046,
1998-12,2723.805,
1999-01,2832.545,
1999-02,2912.795,
1999-03,2942.480,
1999-04,3036.435,
1999-05,3065.292,
1999-06,3120.649,
1999-07,3155.155,
1999-08,3250.501,
1999-09,3338.763,
1999-10,3353.400,
1999-11,3427.689,
1999-12,3462.294,
2000-01,3618.929,
2000-02,3732.752,
2000-03,3868.518,
2000-04,3843.401,
2000-05,3927.448,
2000-06,3963.431,
2000-07,4026.317,
2000-08,4086.042,
2000-09,4096.760,
2000-10,4079.586,
2000-11,4043.478,
2000-12,4079.092,
2001-01,4020.395,
2001-02,3977.653,
2001-03,3876.136,
2001-04,3850.482,
2001-05,3793.732,
2001-06,3726.440,
2001-07,3623.639,
2001-08,3571.495,
2001-09,3577.160,
2001-10,3604.926,
2001-11,3556.051,
2001-12,3463.878,
2002-01,3435.027,
2002-02,3368.272,
2002-03,3324.659,
2002-04,3275.970,
2002-05,3252.970,
2002-06,3195.454,
2002-07,3199.177,
2002-08,3127.828,
2002-09,3028.070,
2002-10,3018.268,
2002-11,2960.937,
2002-12,2922.810,
2003-01,2573.979,
2003-02,2541.504,
2003-03,2465.673,
2003-04,2439.264,
2003-05,2421.197,
2003-06,2397.899,
2003-07,2411.712,
2003-08,2383.418,
2003-09,2387.588,
2003-10,2356.450,
2003-11,2368.531,
2003-12,2327.706,
2004-01,2220.904,
2004-02,2216.066,
2004-03,2246.425,
2004-04,2229.233,
2004-05,2212.786,
2004-06,2234.341,
2004-07,2295.703,
2004-08,2332.619,
2004-09,2409.464,
2004-10,2479.713,
2004-11,2474.728,
2004-12,2607.189,
2005-01,2727.058,
2005-02,2748.278,
2005-03,2783.066,
2005-04,2827.340,
2005-05,2848.707,
2005-06,2877.991,
2005-07,2892.021,
2005-08,2956.544,
2005-09,2959.214,
2005-10,3023.799,
2005-11,3076.106,
2005-12,3040.743,
2006-01,3116.234,
2006-02,3219.083,
2006-03,3286.128,
2006-04,3365.903,
2006-05,3464.548,
2006-06,3551.349,
2006-07,3670.366,
2006-08,3754.956,
2006-09,3845.057,
2006-10,3846.863,
2006-11,3934.665,
2006-12,4118.202,
2007-01,4167.035,
2007-02,4218.258,
2007-03,4241.837,
2007-04,4266.224,
2007-05,4292.802,
2007-06,4300.917,
2007-07,4288.925,
2007-08,4261.663,
2007-09,4229.286,
2007-10,4223.719,
2007-11,4241.602,
2007-12,4053.786,
2008-01,3995.585,
2008-02,3844.953,
2008-03,3720.190,
2008-04,3532.865,
2008-05,3334.479,
2008-06,3147.309,
2008-07,2928.944,
2008-08,2760.332,
2008-09,2583.023,
2008-10,2305.006,
2008-11,2057.200,
2008-12,1898.205,
2009-01,1721.153,
2009-02,1544.168,
2009-03,1423.263,
2009-04,1413.121,
2009-05,1341.713,
2009-06,1306.598,
2009-07,1327.517,
2009-08,1277.607,
2009-09,1244.876,
2009-10,1213.866,
2009-11,1204.636,
2009-12,1197.841,
2010-01,1196.930,
2010-02,1195.697,
2010-03,1198.955,
2010-04,1268.943,
2010-05,1290.187,
2010-06,1307.448,
2010-07,1308.155,
2010-08,1300.571,
2010-09,1304.672,
2010-10,1302.160,
2010-11,1313.141,
2010-12,1320.880,
2011-01,1313.097,
2011-02,1308.712,
2011-03,1300.576,
2011-04,1283.809,
2011-05,1260.579,
2011-06,1242.303,
2011-07,1209.976,
2011-08,1194.971,
2011-09,1166.024,
2011-10,1119.928,
2011-11,1082.091,
2011-12,1054.883,
2012-01,992.265,
2012-02,963.990,
2012-03,942.708,
2012-04,941.458,
2012-05,923.654,
2012-06,897.705,
2012-07,862.173,
2012-08,848.071,
2012-09,840.989,
2012-10,831.118,
2012-11,818.758,
2012-12,805.250,
2013-01,795.655,
2013-02,781.319,
2013-03,764.609,
2013-04,811.777,
2013-05,811.845,
2013-06,799.223,
2013-07,758.841,
2013-08,759.602,
2013-09,745.461,
2013-10,720.739,
2013-11,734.318,
2013-12,727.297,
2014-01,749.189,
2014-02,755.850,Provisional value
2014-03,745.491,Provisional value
2014-04,781.447,Provisional value
2014-05,805.307,Provisional value
2014-06,816.736,Provisional value
2014-07,666.258,Provisional value
2014-08,708.124,Provisional value
2014-09,663.016,
2014-10,622.315,
2014-11,608.474,
2014-12,595.113,Provisional value
