"",BBK01.OELO03I,BBK01.OELO03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:11,
2002-01,0.414,
2002-04,0.330,
2002-07,0.228,
2002-10,0.207,
2003-01,0.228,
2003-04,0.246,
2003-07,0.338,
2003-10,0.234,
2004-01,0.332,
2004-04,0.220,
2004-07,0.229,
2004-10,0.236,
2005-01,0.235,
2005-04,0.271,
2005-07,0.175,
2005-10,0.183,
2006-01,0.196,
2006-04,0.234,
2006-07,0.223,
2006-10,0.236,
2007-01,0.291,
2007-04,0.222,
2007-07,0.220,
2007-10,0.208,
2008-01,0.239,
2008-04,0.221,
2008-07,0.229,
2008-10,0.259,
2009-01,0.201,
2009-04,0.239,
2009-07,0.232,
2009-10,0.186,
2010-01,0.258,
2010-04,0.175,
2010-07,0.197,
2010-10,0.215,
2011-01,0.191,
2011-04,0.135,
2011-07,0.164,
2011-10,0.123,
2012-01,0.129,
2012-04,0.092,
2012-07,0.121,
2012-10,0.161,
2013-01,0.149,
2013-04,0.105,
2013-07,0.152,
2013-10,0.154,
2014-01,0.120,
2014-04,0.130,
2014-07,0.138,
