"",BBK01.SUD131X,BBK01.SUD131X_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Housing loans to households,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:58,
2000-01,6.9556,Estimated value
2000-02,7.0568,Estimated value
2000-03,6.9556,Estimated value
2000-04,6.9107,Estimated value
2000-05,7.2141,Estimated value
2000-06,7.2028,Estimated value
2000-07,7.2815,Estimated value
2000-08,7.3152,Estimated value
2000-09,7.3377,Estimated value
2000-10,7.2927,Estimated value
2000-11,7.2478,Estimated value
2000-12,6.9556,Estimated value
2001-01,6.6635,Estimated value
2001-02,6.6298,Estimated value
2001-03,6.5174,Estimated value
2001-04,6.4949,Estimated value
2001-05,6.5960,Estimated value
2001-06,6.5623,Estimated value
2001-07,6.5736,Estimated value
2001-08,6.3938,Estimated value
2001-09,6.2589,Estimated value
2001-10,6.0230,Estimated value
2001-11,5.8432,Estimated value
2001-12,6.0904,Estimated value
2002-01,6.2028,Estimated value
2002-02,6.3601,Estimated value
2002-03,6.6185,Estimated value
2002-04,6.6972,Estimated value
2002-05,6.6972,Estimated value
2002-06,6.5848,Estimated value
2002-07,6.4163,Estimated value
2002-08,6.0904,Estimated value
2002-09,5.8656,Estimated value
2002-10,5.7758,Estimated value
2002-11,5.7083,Estimated value
2002-12,5.5735,Estimated value
