"",BBK01.OEAF12R,BBK01.OEAF12R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:39,
2002-01,0.360,
2002-04,0.363,
2002-07,0.388,
2002-10,0.384,
2003-01,0.374,
2003-04,0.376,
2003-07,0.369,
2003-10,0.355,
2004-01,0.339,
2004-04,0.344,
2004-07,0.342,
2004-10,0.312,
2005-01,0.298,
2005-04,0.304,
2005-07,0.311,
2005-10,0.288,
2006-01,0.272,
2006-04,0.282,
2006-07,0.286,
2006-10,0.260,
2007-01,0.266,
2007-04,0.267,
2007-07,0.241,
2007-10,0.238,
2008-01,0.238,
2008-04,0.232,
2008-07,0.237,
2008-10,0.227,
2009-01,0.207,
2009-04,0.213,
2009-07,0.209,
2009-10,0.206,
2010-01,0.196,
2010-04,0.192,
2010-07,0.197,
2010-10,0.182,
2011-01,0.189,
2011-04,0.182,
2011-07,0.182,
2011-10,0.173,
2012-01,0.173,
2012-04,0.168,
2012-07,0.158,
2012-10,0.157,
2013-01,0.152,
2013-04,0.149,
2013-07,0.154,
2013-10,0.147,
2014-01,0.147,
2014-04,0.156,
2014-07,0.153,
