"",BBK01.CEFJ30,BBK01.CEFJ30_FLAGS
"",Unlisted shares                                       debtor: MFI                          creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:55,
1999-01,80.5,
1999-04,75.2,
1999-07,74.2,
1999-10,83.1,
2000-01,93.2,
2000-04,83.9,
2000-07,85.4,
2000-10,78.9,
2001-01,79.4,
2001-04,79.4,
2001-07,72.1,
2001-10,78.9,
2002-01,81.9,
2002-04,78.2,
2002-07,54.4,
2002-10,53.5,
2003-01,65.0,
2003-04,80.4,
2003-07,82.6,
2003-10,91.4,
2004-01,91.1,
2004-04,90.8,
2004-07,89.3,
2004-10,95.0,
2005-01,98.6,
2005-04,102.9,
2005-07,118.1,
2005-10,125.1,
2006-01,143.0,
2006-04,137.5,
2006-07,150.2,
2006-10,152.7,
2007-01,167.8,
2007-04,168.3,
2007-07,152.0,
2007-10,173.5,
2008-01,140.4,
2008-04,119.1,
2008-07,94.1,
2008-10,51.8,
2009-01,51.9,
2009-04,58.1,
2009-07,69.0,
2009-10,64.8,
2010-01,75.0,
2010-04,64.1,
2010-07,60.6,
2010-10,61.4,
2011-01,62.3,
2011-04,60.4,
2011-07,45.7,
2011-10,45.6,
2012-01,53.5,
2012-04,44.9,
2012-07,46.3,
2012-10,48.3,
2013-01,46.3,
2013-04,45.5,
2013-07,47.8,
2013-10,52.3,
2014-01,52.1,
2014-04,47.2,
2014-07,53.9,
