"",BBDA1.M.DE.N.IM.S.A.W1.A.V.ABA.L,BBDA1.M.DE.N.IM.S.A.W1.A.V.ABA.L_FLAGS
"","German foreign trade: imports / At current prices, flows / Aggregate / all goods / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:40:08,
1950-01,0.50,
1950-02,0.36,
1950-03,0.42,
1950-04,0.38,
1950-05,0.35,
1950-06,0.40,
1950-07,0.49,
1950-08,0.44,
1950-09,0.52,
1950-10,0.67,
1950-11,0.62,
1950-12,0.67,
1951-01,0.63,
1951-02,0.62,
1951-03,0.64,
1951-04,0.55,
1951-05,0.54,
1951-06,0.55,
1951-07,0.61,
1951-08,0.62,
1951-09,0.81,
1951-10,0.60,
1951-11,0.65,
1951-12,0.71,
1952-01,0.72,
1952-02,0.75,
1952-03,0.75,
1952-04,0.65,
1952-05,0.60,
1952-06,0.57,
1952-07,0.63,
1952-08,0.61,
1952-09,0.65,
1952-10,0.77,
1952-11,0.72,
1952-12,0.86,
1953-01,0.69,
1953-02,0.60,
1953-03,0.65,
1953-04,0.64,
1953-05,0.63,
1953-06,0.69,
1953-07,0.65,
1953-08,0.63,
1953-09,0.70,
1953-10,0.73,
1953-11,0.75,
1953-12,0.81,
1954-01,0.67,
1954-02,0.62,
1954-03,0.81,
1954-04,0.75,
1954-05,0.80,
1954-06,0.80,
1954-07,0.80,
1954-08,0.78,
1954-09,0.87,
1954-10,0.95,
1954-11,1.00,
1954-12,1.04,
1955-01,0.86,
1955-02,0.93,
1955-03,1.02,
1955-04,1.03,
1955-05,0.98,
1955-06,1.00,
1955-07,1.08,
1955-08,1.04,
1955-09,1.09,
1955-10,1.12,
1955-11,1.09,
1955-12,1.26,
1956-01,1.10,
1956-02,0.92,
1956-03,1.11,
1956-04,1.17,
1956-05,1.14,
1956-06,1.24,
1956-07,1.23,
1956-08,1.19,
1956-09,1.23,
1956-10,1.33,
1956-11,1.33,
1956-12,1.29,
1957-01,1.30,
1957-02,1.24,
1957-03,1.38,
1957-04,1.30,
1957-05,1.37,
1957-06,1.28,
1957-07,1.40,
1957-08,1.34,
1957-09,1.34,
1957-10,1.50,
1957-11,1.43,
1957-12,1.43,
1958-01,1.43,
1958-02,1.27,
1958-03,1.37,
1958-04,1.27,
1958-05,1.26,
1958-06,1.30,
1958-07,1.42,
1958-08,1.26,
1958-09,1.40,
1958-10,1.44,
1958-11,1.47,
1958-12,1.51,
1959-01,1.33,
1959-02,1.27,
1959-03,1.34,
1959-04,1.52,
1959-05,1.49,
1959-06,1.47,
1959-07,1.54,
1959-08,1.53,
1959-09,1.58,
1959-10,1.67,
1959-11,1.60,
1959-12,1.98,
1960-01,1.59,
1960-02,1.67,
1960-03,1.87,
1960-04,1.75,
1960-05,1.84,
1960-06,1.85,
1960-07,1.86,
1960-08,1.72,
1960-09,1.73,
1960-10,1.93,
1960-11,1.88,
1960-12,2.15,
1961-01,1.78,
1961-02,1.63,
1961-03,1.87,
1961-04,1.87,
1961-05,1.91,
1961-06,1.91,
1961-07,1.90,
1961-08,1.77,
1961-09,1.88,
1961-10,2.05,
1961-11,1.96,
1961-12,2.16,
1962-01,1.94,
1962-02,2.08,
1962-03,2.14,
1962-04,1.92,
1962-05,2.23,
1962-06,2.12,
1962-07,2.15,
1962-08,2.01,
1962-09,1.98,
1962-10,2.19,
1962-11,2.27,
1962-12,2.27,
1963-01,1.92,
1963-02,1.92,
1963-03,2.38,
1963-04,2.26,
1963-05,2.37,
1963-06,2.18,
1963-07,2.39,
1963-08,2.16,
1963-09,2.30,
1963-10,2.38,
1963-11,2.24,
1963-12,2.23,
1964-01,2.20,
1964-02,2.16,
1964-03,2.37,
1964-04,2.52,
1964-05,2.24,
1964-06,2.52,
1964-07,2.68,
1964-08,2.33,
1964-09,2.55,
1964-10,2.80,
1964-11,2.80,
1964-12,2.90,
1965-01,2.73,
