"",BBK01.OEHJ01K,BBK01.OEHJ01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:14,
2002-01,4.262,
2002-04,4.316,
2002-07,4.960,
2002-10,5.066,
2003-01,5.261,
2003-04,6.361,
2003-07,5.886,
2003-10,5.752,
2004-01,6.224,
2004-04,6.186,
2004-07,5.936,
2004-10,6.702,
2005-01,7.510,
2005-04,7.804,
2005-07,8.246,
2005-10,8.325,
2006-01,8.276,
2006-04,8.072,
2006-07,8.138,
2006-10,8.552,
2007-01,8.389,
2007-04,8.850,
2007-07,8.977,
2007-10,8.544,
2008-01,8.607,
2008-04,8.496,
2008-07,9.065,
2008-10,9.046,
2009-01,8.931,
2009-04,8.909,
2009-07,8.963,
2009-10,9.346,
2010-01,9.566,
2010-04,9.874,
2010-07,9.507,
2010-10,9.867,
2011-01,9.877,
2011-04,10.262,
2011-07,10.829,
2011-10,10.018,
2012-01,9.823,
2012-04,10.189,
2012-07,10.908,
2012-10,10.465,
2013-01,10.890,
2013-04,11.087,
2013-07,11.024,
2013-10,10.951,
2014-01,10.940,
2014-04,10.928,
2014-07,10.991,
