"",BBFN1.M.DE.N.1.A.CN.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CN.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents arising from credit terms granted / Total / China, People's Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:04,
1994-07,0.752,
1994-08,0.775,
1994-09,0.841,
1994-10,0.858,
1994-11,0.834,
1994-12,0.894,
1995-01,0.884,
1995-02,0.873,
1995-03,0.878,
1995-04,0.900,
1995-05,0.980,
1995-06,1.030,
1995-07,1.053,
1995-08,1.083,
1995-09,1.115,
1995-10,1.166,
1995-11,1.206,
1995-12,1.258,
1996-01,1.220,
1996-02,1.244,
1996-03,1.265,
1996-04,1.378,
1996-05,1.215,
1996-06,1.288,
1996-07,1.320,
1996-08,1.321,
1996-09,1.195,
1996-10,1.382,
1996-11,1.416,
1996-12,1.410,
1997-01,1.330,
1997-02,1.291,
1997-03,1.275,
1997-04,1.294,
1997-05,1.333,
1997-06,1.343,
1997-07,1.408,
1997-08,1.465,
1997-09,1.479,
1997-10,1.520,
1997-11,1.623,
1997-12,1.605,
1998-01,1.641,
1998-02,1.756,
1998-03,1.695,
1998-04,1.695,
1998-05,1.784,
1998-06,1.835,
1998-07,1.833,
1998-08,1.815,
1998-09,1.808,
1998-10,1.794,
1998-11,1.880,
1998-12,1.893,
1999-01,1.885,
1999-02,1.940,
1999-03,1.919,
1999-04,1.575,
1999-05,2.101,
1999-06,2.097,
1999-07,2.055,
1999-08,2.037,
1999-09,2.083,
1999-10,2.186,
1999-11,2.124,
1999-12,2.171,
2000-01,2.173,
2000-02,2.106,
2000-03,2.201,
2000-04,2.241,
2000-05,2.304,
2000-06,2.399,
2000-07,2.313,
2000-08,2.357,
2000-09,2.423,
2000-10,2.591,
2000-11,2.765,
2000-12,2.936,
2001-01,3.011,
2001-02,3.051,
2001-03,2.927,
2001-04,3.094,
2001-05,2.944,
2001-06,3.382,
2001-07,3.094,
2001-08,3.090,
2001-09,3.331,
2001-10,3.282,
2001-11,3.153,
2001-12,2.839,
2002-01,2.372,
2002-02,2.621,
2002-03,2.842,
2002-04,2.810,
2002-05,2.972,
2002-06,3.072,
2002-07,3.110,
2002-08,3.053,
2002-09,3.004,
2002-10,3.105,
2002-11,3.248,
2002-12,3.293,
2003-01,3.276,
2003-02,3.248,
2003-03,3.224,
2003-04,3.371,
2003-05,3.388,
2003-06,3.438,
2003-07,3.533,
2003-08,3.578,
2003-09,3.532,
2003-10,3.870,
2003-11,3.930,
2003-12,3.903,
2004-01,3.558,
2004-02,3.512,
2004-03,3.508,
2004-04,3.727,
2004-05,3.761,
2004-06,3.849,
2004-07,3.887,
2004-08,3.753,
2004-09,3.782,
2004-10,3.868,
2004-11,3.809,
2004-12,3.773,
2005-01,3.572,
2005-02,3.810,
2005-03,3.902,
2005-04,3.875,
2005-05,4.123,
2005-06,4.176,
2005-07,4.222,
2005-08,4.236,
2005-09,4.226,
2005-10,4.469,
2005-11,4.644,
2005-12,4.583,
2006-01,4.342,
2006-02,4.523,
2006-03,4.558,
2006-04,4.831,
2006-05,5.057,
2006-06,5.424,
2006-07,5.549,
2006-08,5.376,
2006-09,5.365,
2006-10,5.412,
2006-11,5.505,
2006-12,5.441,
2007-01,5.295,
2007-02,5.526,
2007-03,5.729,
2007-04,5.749,
2007-05,5.925,
2007-06,6.187,
2007-07,6.244,
2007-08,6.111,
2007-09,6.371,
2007-10,6.598,
2007-11,6.772,
2007-12,6.840,
2008-01,6.453,
2008-02,6.591,
2008-03,6.711,
2008-04,6.933,
2008-05,6.924,
2008-06,6.994,
2008-07,7.092,
2008-08,6.682,
2008-09,6.293,
2008-10,6.318,
2008-11,6.908,
2008-12,6.548,
2009-01,6.299,
2009-02,6.277,
2009-03,6.166,
2009-04,6.166,
2009-05,6.392,
2009-06,6.534,
2009-07,6.859,
2009-08,6.894,
2009-09,7.278,
2009-10,7.630,
2009-11,7.946,
2009-12,7.736,
2010-01,7.948,
2010-02,8.372,
2010-03,8.875,
2010-04,9.564,
2010-05,9.415,
2010-06,9.999,
2010-07,8.955,
2010-08,8.628,
2010-09,9.043,
2010-10,9.986,
2010-11,10.477,
2010-12,10.526,
2011-01,10.180,
2011-02,10.673,
2011-03,11.073,
2011-04,11.286,
2011-05,11.327,
2011-06,11.252,
2011-07,11.761,
2011-08,11.742,
2011-09,12.156,
2011-10,12.655,
2011-11,13.082,
2011-12,12.640,
2012-01,13.066,
2012-02,13.495,
2012-03,13.889,
2012-04,14.326,
2012-05,14.642,
2012-06,14.931,
2012-07,15.119,
2012-08,14.660,
2012-09,14.396,
2012-10,14.106,
2012-11,14.108,
2012-12,13.502,
2013-01,13.054,
2013-02,13.597,
2013-03,14.156,
2013-04,14.794,
2013-05,14.416,
2013-06,14.679,
2013-07,14.356,
2013-08,14.318,
2013-09,14.737,
2013-10,14.831,
2013-11,15.449,
2013-12,15.475,
2014-01,14.856,
2014-02,15.380,
2014-03,15.332,
2014-04,16.253,
2014-05,16.378,
2014-06,16.481,
2014-07,17.058,
2014-08,17.030,
2014-09,17.213,
2014-10,17.670,
2014-11,18.020,
2014-12,17.361,
"",General: Excluding Hong Kong.,
