"",BBSF2.M.1.T.00000.IMM01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Loans received,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:59,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,175,
1993-05,176,
1993-06,179,
1993-07,180,
1993-08,183,
1993-09,180,
1993-10,183,
1993-11,186,
1993-12,520,
1994-01,523,
1994-02,577,
1994-03,571,
1994-04,343,
1994-05,340,
1994-06,429,
1994-07,413,
1994-08,412,
1994-09,409,
1994-10,410,
1994-11,410,
1994-12,402,
1995-01,400,
1995-02,436,
1995-03,402,
1995-04,402,
1995-05,402,
1995-06,498,
1995-07,503,
1995-08,526,
1995-09,600,
1995-10,650,
1995-11,647,
1995-12,655,
1996-01,671,
1996-02,774,
1996-03,790,
1996-04,838,
1996-05,852,
1996-06,903,
1996-07,902,
1996-08,1057,
1996-09,1254,
1996-10,1330,
1996-11,1598,
1996-12,1659,
1997-01,1763,
1997-02,1937,
1997-03,1993,
1997-04,1848,
1997-05,1881,
1997-06,2095,
1997-07,2167,
1997-08,2211,
1997-09,2249,
1997-10,2305,
1997-11,2410,
1997-12,2544,
1998-01,2704,
1998-02,2834,
1998-03,2980,
1998-04,2956,
1998-05,2895,
1998-06,2996,
1998-07,2956,
1998-08,3057,
1998-09,3039,
1998-10,3034,
1998-11,3094,
1998-12,3306,
1999-01,3503,
1999-02,3544,
1999-03,3734,
1999-04,3817,
1999-05,4041,
1999-06,4107,
1999-07,4231,
1999-08,4353,
1999-09,4482,
1999-10,4742,
1999-11,5031,
1999-12,5531,
2000-01,5752,
2000-02,5773,
2000-03,5840,
2000-04,6199,
2000-05,6015,
2000-06,6099,
2000-07,6304,
2000-08,6381,
2000-09,6596,
2000-10,6771,
2000-11,6710,
2000-12,7090,
2001-01,7189,
2001-02,7303,
2001-03,7353,
2001-04,7393,
2001-05,7670,
2001-06,7975,
2001-07,8067,
2001-08,8376,
2001-09,8822,
2001-10,8901,
2001-11,9018,
2001-12,9248,
2002-01,9309,
2002-02,9556,
2002-03,9693,
2002-04,9713,
2002-05,9717,
2002-06,9940,
2002-07,10520,
2002-08,10641,
2002-09,10954,
2002-10,11100,
2002-11,10902,
2002-12,11842,
2003-01,11848,
2003-02,11710,
2003-03,11625,
2003-04,12133,
2003-05,12313,
2003-06,12894,
2003-07,13253,
2003-08,13641,
2003-09,13918,
2003-10,14379,
2003-11,14665,
2003-12,16414,
2004-01,16976,
2004-02,17651,
2004-03,17713,
2004-04,17934,
2004-05,18100,
2004-06,18137,
2004-07,18251,
2004-08,18676,
2004-09,18664,
2004-10,18560,
2004-11,18639,
2004-12,18921,
2005-01,19260,
2005-02,19336,
2005-03,19892,
2005-04,20103,
2005-05,20275,
2005-06,20357,
2005-07,20555,
2005-08,20999,
2005-09,21183,
2005-10,21085,
2005-11,20894,
2005-12,21922,
2006-01,22726,
2006-02,23627,
2006-03,23750,
2006-04,23517,
2006-05,23780,
2006-06,23207,
2006-07,23260,
2006-08,23318,
2006-09,23136,
2006-10,22659,
2006-11,22809,
2006-12,23353,
2007-01,23052,
2007-02,22341,
2007-03,22285,
2007-04,22274,
2007-05,22678,
2007-06,22696,
2007-07,22712,
2007-08,22314,
2007-09,22020,
2007-10,21636,
2007-11,21822,
2007-12,22187,
2008-01,22115,
2008-02,22282,
2008-03,22246,
2008-04,22032,
2008-05,22301,
2008-06,22514,
2008-07,22824,
2008-08,23062,
2008-09,23771,
2008-10,24957,
2008-11,25275,
2008-12,24871,
2009-01,24972,
2009-02,25096,
2009-03,24849,
2009-04,25211,
2009-05,25827,
2009-06,26851,
2009-07,27091,
2009-08,27343,
2009-09,27383,
2009-10,27389,
2009-11,27314,
2009-12,27726,
2010-01,27859,
2010-02,27977,
2010-03,28258,
2010-04,28492,
2010-05,28612,
2010-06,29014,
2010-07,28918,
2010-08,29127,
2010-09,28863,
2010-10,28735,
2010-11,29444,
2010-12,29160,
2011-01,29083,
2011-02,28938,
2011-03,28575,
2011-04,28264,
2011-05,28707,
2011-06,28232,
2011-07,28606,
2011-08,28613,
2011-09,28605,
2011-10,28424,
2011-11,28534,
2011-12,28516,
2012-01,28360,
2012-02,28330,
2012-03,28242,
2012-04,28112,
2012-05,28516,
2012-06,28559,
2012-07,28135,
2012-08,27865,
2012-09,27888,
2012-10,27402,
2012-11,27237,
2012-12,27527,
2013-01,27258,
2013-02,27087,
2013-03,26896,
2013-04,26588,
2013-05,26658,
2013-06,26453,
2013-07,26007,
2013-08,25797,
2013-09,25777,
2013-10,25612,
2013-11,26127,
2013-12,26462,
2014-01,26442,
2014-02,26109,
2014-03,26673,
2014-04,26572,
2014-05,26619,
2014-06,26366,
2014-07,26492,
2014-08,26402,
2014-09,26224,
2014-10,26137,
2014-11,26472,
