"",BBK01.OEAD21M,BBK01.OEAD21M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:14,
2002-01,1.534,
2002-04,1.309,
2002-07,1.156,
2002-10,1.136,
2003-01,1.201,
2003-04,1.101,
2003-07,1.208,
2003-10,1.100,
2004-01,1.039,
2004-04,1.095,
2004-07,1.282,
2004-10,0.908,
2005-01,0.971,
2005-04,0.940,
2005-07,0.958,
2005-10,0.822,
2006-01,0.825,
2006-04,0.828,
2006-07,0.839,
2006-10,1.008,
2007-01,0.842,
2007-04,0.860,
2007-07,0.883,
2007-10,1.320,
2008-01,1.307,
2008-04,1.381,
2008-07,1.431,
2008-10,1.378,
2009-01,1.392,
2009-04,1.457,
2009-07,1.461,
2009-10,1.399,
2010-01,1.477,
2010-04,1.227,
2010-07,1.320,
2010-10,1.331,
2011-01,1.347,
2011-04,1.255,
2011-07,1.259,
2011-10,1.407,
2012-01,1.382,
2012-04,1.423,
2012-07,1.429,
2012-10,1.421,
2013-01,1.399,
2013-04,1.441,
2013-07,1.429,
2013-10,1.448,
2014-01,1.446,
2014-04,1.379,
2014-07,1.341,
