"",BBK01.TVE319,BBK01.TVE319_FLAGS
"",Monetary capital formation at monetary financial institutions (MFIS) in the euro area / Deposits with an agreed maturity of over 2 years / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:41,
1997-10,3033,
1997-11,449,
1997-12,12858,
1998-01,7323,
1998-02,7833,
1998-03,1117,
1998-04,2076,
1998-05,4818,
1998-06,-2928,
1998-07,2423,
1998-08,5618,
1998-09,895,
1998-10,-4006,
1998-11,-5940,
1998-12,10870,
1999-01,-1438,
1999-02,3930,
1999-03,4258,
1999-04,1696,
1999-05,-2335,
1999-06,9239,
1999-07,5421,
1999-08,5582,
1999-09,2080,
1999-10,6016,
1999-11,7886,
1999-12,11485,
2000-01,1368,
2000-02,978,
2000-03,-2339,
2000-04,-1219,
2000-05,1717,
2000-06,-866,
2000-07,-1025,
2000-08,286,
2000-09,-2810,
2000-10,-678,
2000-11,-4613,
2000-12,9420,
2001-01,223,
2001-02,-1072,
2001-03,1259,
2001-04,-2650,
2001-05,-161,
2001-06,506,
2001-07,-4592,
2001-08,-1917,
2001-09,735,
2001-10,-343,
2001-11,-1655,
2001-12,7260,
2002-01,3521,
2002-02,1568,
2002-03,3751,
2002-04,-99,
2002-05,3607,
2002-06,3456,
2002-07,1170,
2002-08,2212,
2002-09,1022,
2002-10,1266,
2002-11,3721,
2002-12,16670,
2003-01,-768,
2003-02,7043,
2003-03,7353,
2003-04,-2876,
2003-05,6403,
2003-06,3019,
2003-07,5212,
2003-08,7590,
2003-09,656,
2003-10,4884,
2003-11,7912,
2003-12,16897,
2004-01,1620,
2004-02,7577,
2004-03,7034,
2004-04,10319,
2004-05,5583,
2004-06,9889,
2004-07,6802,
2004-08,6668,
2004-09,3544,
2004-10,7321,
2004-11,15345,
2004-12,26021,
2005-01,1925,
2005-02,7479,
2005-03,12273,
2005-04,5416,
2005-05,223,
2005-06,29760,
2005-07,6036,
2005-08,1266,
2005-09,2815,
2005-10,9630,
2005-11,11807,
2005-12,27188,
2006-01,5763,
2006-02,12353,
2006-03,18796,
2006-04,15383,
2006-05,10676,
2006-06,12478,
2006-07,10093,
2006-08,3754,
2006-09,5238,
2006-10,15389,
2006-11,10929,
2006-12,24557,
2007-01,3975,
2007-02,4628,
2007-03,32380,
2007-04,15335,
2007-05,17751,
2007-06,19063,
2007-07,19446,
2007-08,-6968,
2007-09,241,
2007-10,23059,
2007-11,15532,
2007-12,63575,
2008-01,-3381,
2008-02,-3741,
2008-03,14632,
2008-04,8012,
2008-05,22761,
2008-06,16164,
2008-07,2867,
2008-08,2949,
2008-09,-13478,
2008-10,-808,
2008-11,25906,
2008-12,42989,
2009-01,31614,
2009-02,13212,
2009-03,22936,
2009-04,13236,
2009-05,23729,
2009-06,22506,
2009-07,12150,
2009-08,6747,
2009-09,16321,
2009-10,1687,
2009-11,9541,
2009-12,20579,
2010-01,11080,
2010-02,9050,
2010-03,2596,
2010-04,14166,
2010-05,-4238,
2010-06,-7106,
2010-07,27035,
2010-08,5777,
2010-09,2546,
2010-10,-8593,
2010-11,29361,
2010-12,20957,
2011-01,-2018,
2011-02,-4654,
2011-03,7522,
2011-04,13860,
2011-05,1427,
2011-06,4179,
2011-07,-5976,
2011-08,1547,
2011-09,12917,
2011-10,24214,
2011-11,-11132,
2011-12,13889,
2012-01,231,
2012-02,-3397,
2012-03,-26358,
2012-04,-3859,
2012-05,-32495,
2012-06,-12436,
2012-07,-53375,
2012-08,2921,
2012-09,-7590,
2012-10,-12586,
2012-11,-4562,
2012-12,-4241,
2013-01,-4291,
2013-02,-8385,
2013-03,16673,
2013-04,-7588,
2013-05,4600,
2013-06,-576,
2013-07,-4206,
2013-08,-6323,
2013-09,-4236,
2013-10,2011,
2013-11,1681,
2013-12,-8932,
2014-01,-2676,
2014-02,-5902,
2014-03,-8593,
2014-04,-31080,
2014-05,-14855,
2014-06,-10561,
2014-07,-12386,
2014-08,-5033,
2014-09,-16463,
2014-10,-13942,
2014-11,1089,
2014-12,-981,
2015-01,-17331,
