"",BBK01.OEBK02Q,BBK01.OEBK02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:59,
2002-01,0.683,
2002-04,0.679,
2002-07,0.659,
2002-10,0.670,
2003-01,0.622,
2003-04,0.652,
2003-07,0.773,
2003-10,0.750,
2004-01,0.683,
2004-04,0.698,
2004-07,0.667,
2004-10,0.712,
2005-01,0.730,
2005-04,0.770,
2005-07,0.802,
2005-10,0.839,
2006-01,0.819,
2006-04,0.863,
2006-07,0.818,
2006-10,0.945,
2007-01,1.016,
2007-04,1.119,
2007-07,1.199,
2007-10,1.198,
2008-01,1.224,
2008-04,1.330,
2008-07,1.392,
2008-10,1.442,
2009-01,1.493,
2009-04,1.464,
2009-07,1.523,
2009-10,1.626,
2010-01,1.649,
2010-04,1.727,
2010-07,1.755,
2010-10,1.825,
2011-01,1.767,
2011-04,1.857,
2011-07,1.938,
2011-10,1.965,
2012-01,1.943,
2012-04,1.982,
2012-07,2.119,
2012-10,2.168,
2013-01,2.156,
2013-04,2.237,
2013-07,2.365,
2013-10,2.540,
2014-01,2.536,
2014-04,2.540,
2014-07,2.613,
