"",BBFB1.Q.N.DE.A7.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:17,
1991-01,-764.876,
1991-04,-1072.766,
1991-07,-561.731,
1991-10,-427.954,
1992-01,-636.538,
1992-04,-933.048,
1992-07,-514.410,
1992-10,-274.219,
1993-01,-2.918,
1993-04,-202.401,
1993-07,-216.348,
1993-10,-25.664,
1994-01,13.183,
1994-04,-118.314,
1994-07,-78.996,
1994-10,175.737,
1995-01,479.839,
1995-04,252.764,
1995-07,200.014,
1995-10,237.912,
1996-01,224.647,
1996-04,271.277,
1996-07,539.795,
1996-10,872.615,
1997-01,708.472,
1997-04,243.736,
1997-07,868.745,
1997-10,987.043,
1998-01,410.713,
1998-04,547.776,
1998-07,768.962,
1998-10,659.126,
1999-01,282.625,
1999-04,-51.988,
1999-07,63.877,
1999-10,445.582,
2000-01,-118.886,
2000-04,-246.562,
2000-07,-116.296,
2000-10,-26.154,
2001-01,315.019,
2001-04,-134.508,
2001-07,-6.946,
2001-10,115.690,
2002-01,-26.722,
2002-04,-298.414,
2002-07,19.212,
2002-10,-409.971,
2003-01,-758.067,
2003-04,-833.574,
2003-07,-183.705,
2003-10,-622.221,
2004-01,-606.564,
2004-04,-343.401,
2004-07,-782.055,
2004-10,-845.358,
2005-01,302.106,
2005-04,-257.211,
2005-07,165.434,
2005-10,-27.676,
2006-01,7.552,
2006-04,-611.717,
2006-07,-465.141,
2006-10,-617.917,
2007-01,-794.545,
2007-04,-598.927,
2007-07,-252.186,
2007-10,-352.738,
2008-01,-12.681,
2008-04,-349.734,
2008-07,-611.174,
2008-10,-309.762,
2009-01,-591.354,
2009-04,-765.153,
2009-07,-131.885,
2009-10,292.650,
2010-01,593.209,
2010-04,256.231,
2010-07,219.255,
2010-10,535.211,
2011-01,405.635,
2011-04,-908.661,
2011-07,-29.855,
2011-10,318.462,
2012-01,633.975,
2012-04,891.363,
2012-07,1282.903,
2012-10,1088.464,
2013-01,1710.370,
2013-04,1278.749,
2013-07,1716.399,
2013-10,1778.136,
2014-01,1747.089,Provisional value
2014-04,1355.548,Provisional value
2014-07,1559.434,Provisional value
