"",BBK01.OEXB19H,BBK01.OEXB19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:07,
2002-01,3.693,
2002-04,3.867,
2002-07,4.016,
2002-10,3.990,
2003-01,4.081,
2003-04,4.069,
2003-07,4.191,
2003-10,4.264,
2004-01,4.284,
2004-04,4.780,
2004-07,4.264,
2004-10,3.934,
2005-01,4.040,
2005-04,4.184,
2005-07,4.264,
2005-10,4.313,
2006-01,4.271,
2006-04,4.260,
2006-07,4.255,
2006-10,4.361,
2007-01,4.298,
2007-04,4.271,
2007-07,4.259,
2007-10,4.129,
2008-01,4.044,
2008-04,4.001,
2008-07,3.964,
2008-10,3.838,
2009-01,3.856,
2009-04,3.964,
2009-07,4.188,
2009-10,4.013,
2010-01,3.997,
2010-04,4.486,
2010-07,4.482,
2010-10,4.573,
2011-01,4.677,
2011-04,4.845,
2011-07,6.957,
2011-10,6.927,
2012-01,6.915,
2012-04,7.063,
2012-07,7.134,
2012-10,7.285,
2013-01,8.176,
2013-04,8.250,
2013-07,8.427,
2013-10,8.535,
2014-01,8.521,
2014-04,8.478,
2014-07,8.534,
