"",BBK01.OEYL04I,BBK01.OEYL04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:14,
2002-01,0.470,
2002-04,0.378,
2002-07,0.403,
2002-10,0.395,
2003-01,0.339,
2003-04,0.301,
2003-07,0.548,
2003-10,0.523,
2004-01,0.659,
2004-04,0.481,
2004-07,0.470,
2004-10,0.425,
2005-01,0.421,
2005-04,0.414,
2005-07,0.396,
2005-10,0.405,
2006-01,0.377,
2006-04,0.363,
2006-07,0.385,
2006-10,0.241,
2007-01,0.304,
2007-04,0.341,
2007-07,0.441,
2007-10,0.505,
2008-01,0.581,
2008-04,0.609,
2008-07,0.592,
2008-10,0.519,
2009-01,0.246,
2009-04,0.217,
2009-07,0.191,
2009-10,0.183,
2010-01,0.179,
2010-04,0.260,
2010-07,0.256,
2010-10,0.227,
2011-01,0.247,
2011-04,0.274,
2011-07,0.272,
2011-10,0.282,
2012-01,0.282,
2012-04,0.324,
2012-07,0.272,
2012-10,0.285,
2013-01,0.269,
2013-04,0.298,
2013-07,0.299,
2013-10,0.288,
2014-01,0.293,
2014-04,0.343,
2014-07,0.268,
