"",BBK01.OEYB21J,BBK01.OEYB21J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:55,
2002-01,0.790,
2002-04,0.831,
2002-07,1.562,
2002-10,1.544,
2003-01,1.304,
2003-04,1.264,
2003-07,1.377,
2003-10,1.491,
2004-01,1.268,
2004-04,1.490,
2004-07,1.366,
2004-10,1.534,
2005-01,1.541,
2005-04,1.394,
2005-07,1.382,
2005-10,1.318,
2006-01,1.368,
2006-04,1.329,
2006-07,1.383,
2006-10,1.539,
2007-01,1.369,
2007-04,1.248,
2007-07,1.097,
2007-10,1.283,
2008-01,1.364,
2008-04,1.246,
2008-07,1.223,
2008-10,1.063,
2009-01,1.355,
2009-04,1.045,
2009-07,1.073,
2009-10,0.913,
2010-01,0.905,
2010-04,0.960,
2010-07,0.910,
2010-10,0.897,
2011-01,0.892,
2011-04,0.905,
2011-07,0.809,
2011-10,0.835,
2012-01,1.000,
2012-04,0.392,
2012-07,0.076,
2012-10,0.035,
2013-01,0.096,
2013-04,0.070,
2013-07,0.026,
2013-10,0.025,
2014-01,0.228,
2014-04,0.032,
2014-07,0.408,
