"",BBK01.TQ7023,BBK01.TQ7023_FLAGS
"",Deposit takers - Foreign-currency-denominated loans to total loans                                        FSI-I023,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:35,
2005-10,10.23,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,10.54,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,11.46,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,12.19,
2009-01,12.16,
2009-04,11.66,
2009-07,11.30,
2009-10,11.52,
2010-01,11.79,
2010-04,12.12,
2010-07,11.57,
2010-10,11.52,
2011-01,10.80,
2011-04,10.95,
2011-07,11.10,
2011-10,11.00,
2012-01,10.40,
2012-04,10.60,
2012-07,10.60,
2012-10,10.50,
2013-01,10.60,
2013-04,10.50,
2013-07,10.20,
2013-10,10.00,
2014-01,10.60,
2014-04,11.00,
2014-07,11.60,
