"",BBK01.OEYB03T,BBK01.OEYB03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:39,
2002-01,0.080,
2002-04,0.056,
2002-07,0.055,
2002-10,0.056,
2003-01,0.049,
2003-04,0.049,
2003-07,0.051,
2003-10,0.052,
2004-01,0.075,
2004-04,0.072,
2004-07,0.072,
2004-10,0.171,
2005-01,0.172,
2005-04,0.167,
2005-07,0.165,
2005-10,0.168,
2006-01,0.171,
2006-04,0.166,
2006-07,0.167,
2006-10,0.169,
2007-01,0.183,
2007-04,0.160,
2007-07,0.190,
2007-10,0.201,
2008-01,0.227,
2008-04,0.227,
2008-07,0.228,
2008-10,0.261,
2009-01,0.224,
2009-04,0.137,
2009-07,0.134,
2009-10,0.129,
2010-01,0.114,
2010-04,0.115,
2010-07,0.169,
2010-10,0.154,
2011-01,0.177,
2011-04,0.175,
2011-07,0.190,
2011-10,0.196,
2012-01,0.221,
2012-04,0.280,
2012-07,0.267,
2012-10,0.213,
2013-01,0.217,
2013-04,0.273,
2013-07,0.266,
2013-10,0.251,
2014-01,0.229,
2014-04,0.260,
2014-07,0.222,
