"",BBK01.OEHB02K,BBK01.OEHB02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:36,
2002-01,3.002,
2002-04,3.135,
2002-07,3.045,
2002-10,2.850,
2003-01,2.802,
2003-04,2.710,
2003-07,2.596,
2003-10,2.486,
2004-01,2.408,
2004-04,2.480,
2004-07,2.380,
2004-10,2.284,
2005-01,2.195,
2005-04,2.158,
2005-07,2.146,
2005-10,2.134,
2006-01,1.983,
2006-04,2.059,
2006-07,2.041,
2006-10,1.949,
2007-01,1.998,
2007-04,1.996,
2007-07,2.272,
2007-10,2.073,
2008-01,2.078,
2008-04,2.111,
2008-07,2.219,
2008-10,2.392,
2009-01,2.450,
2009-04,2.732,
2009-07,2.539,
2009-10,2.621,
2010-01,2.632,
2010-04,2.773,
2010-07,2.918,
2010-10,2.813,
2011-01,2.940,
2011-04,3.031,
2011-07,2.893,
2011-10,2.723,
2012-01,2.714,
2012-04,3.132,
2012-07,2.954,
2012-10,2.961,
2013-01,2.917,
2013-04,3.555,
2013-07,2.701,
2013-10,2.705,
2014-01,2.553,
2014-04,2.931,
2014-07,2.416,
