"",BBK01.OEXB18M,BBK01.OEXB18M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:52,
2002-01,0.628,
2002-04,0.624,
2002-07,0.623,
2002-10,0.639,
2003-01,0.597,
2003-04,0.581,
2003-07,0.582,
2003-10,0.550,
2004-01,0.511,
2004-04,0.506,
2004-07,0.509,
2004-10,0.444,
2005-01,0.411,
2005-04,0.420,
2005-07,0.435,
2005-10,0.427,
2006-01,0.414,
2006-04,0.417,
2006-07,0.412,
2006-10,0.377,
2007-01,0.375,
2007-04,0.386,
2007-07,0.372,
2007-10,0.355,
2008-01,0.375,
2008-04,0.373,
2008-07,0.387,
2008-10,0.390,
2009-01,0.383,
2009-04,0.427,
2009-07,0.439,
2009-10,0.423,
2010-01,0.388,
2010-04,0.373,
2010-07,0.369,
2010-10,0.353,
2011-01,0.350,
2011-04,0.340,
2011-07,0.361,
2011-10,0.364,
2012-01,0.347,
2012-04,0.340,
2012-07,0.337,
2012-10,0.357,
2013-01,0.347,
2013-04,0.337,
2013-07,0.343,
2013-10,0.339,
2014-01,0.329,
2014-04,0.344,
2014-07,0.336,
