"",BBFN1.M.DE.N.1.L.SE.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SE.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:27,
1994-07,0.398,
1994-08,0.444,
1994-09,0.487,
1994-10,0.520,
1994-11,0.542,
1994-12,0.559,
1995-01,0.546,
1995-02,0.600,
1995-03,0.620,
1995-04,0.588,
1995-05,0.627,
1995-06,0.638,
1995-07,0.547,
1995-08,0.562,
1995-09,0.626,
1995-10,0.617,
1995-11,0.598,
1995-12,0.553,
1996-01,0.531,
1996-02,0.570,
1996-03,0.622,
1996-04,0.618,
1996-05,0.585,
1996-06,0.561,
1996-07,0.551,
1996-08,0.515,
1996-09,0.584,
1996-10,0.606,
1996-11,0.623,
1996-12,0.630,
1997-01,0.598,
1997-02,0.672,
1997-03,0.618,
1997-04,0.615,
1997-05,0.621,
1997-06,0.656,
1997-07,0.582,
1997-08,0.554,
1997-09,0.656,
1997-10,0.675,
1997-11,0.689,
1997-12,0.688,
1998-01,0.663,
1998-02,0.686,
1998-03,0.750,
1998-04,0.685,
1998-05,0.834,
1998-06,0.838,
1998-07,0.758,
1998-08,0.740,
1998-09,0.800,
1998-10,0.854,
1998-11,0.875,
1998-12,0.806,
1999-01,0.737,
1999-02,0.837,
1999-03,0.843,
1999-04,0.894,
1999-05,0.779,
1999-06,0.815,
1999-07,0.766,
1999-08,0.764,
1999-09,0.788,
1999-10,0.894,
1999-11,0.821,
1999-12,0.904,
2000-01,0.830,
2000-02,0.912,
2000-03,0.917,
2000-04,0.880,
2000-05,0.867,
2000-06,0.857,
2000-07,0.772,
2000-08,0.770,
2000-09,0.901,
2000-10,0.894,
2000-11,0.923,
2000-12,0.949,
2001-01,0.896,
2001-02,0.846,
2001-03,0.933,
2001-04,0.832,
2001-05,0.870,
2001-06,0.852,
2001-07,0.809,
2001-08,0.841,
2001-09,0.805,
2001-10,0.843,
2001-11,0.809,
2001-12,0.784,
2002-01,0.767,
2002-02,0.807,
2002-03,0.793,
2002-04,0.759,
2002-05,0.775,
2002-06,0.796,
2002-07,0.690,
2002-08,0.678,
2002-09,0.746,
2002-10,0.770,
2002-11,0.832,
2002-12,0.745,
2003-01,0.713,
2003-02,0.728,
2003-03,0.805,
2003-04,0.782,
2003-05,0.735,
2003-06,0.823,
2003-07,0.800,
2003-08,0.722,
2003-09,0.802,
2003-10,0.809,
2003-11,0.773,
2003-12,0.799,
2004-01,0.753,
2004-02,0.782,
2004-03,0.824,
2004-04,0.794,
2004-05,0.772,
2004-06,0.872,
2004-07,0.895,
2004-08,0.925,
2004-09,1.093,
2004-10,0.939,
2004-11,0.920,
2004-12,0.936,
2005-01,0.816,
2005-02,0.873,
2005-03,0.965,
2005-04,0.960,
2005-05,0.798,
2005-06,0.885,
2005-07,0.816,
2005-08,0.783,
2005-09,0.820,
2005-10,0.831,
2005-11,0.877,
2005-12,0.834,
2006-01,0.758,
2006-02,0.841,
2006-03,0.919,
2006-04,0.840,
2006-05,0.877,
2006-06,0.952,
2006-07,0.886,
2006-08,0.841,
2006-09,1.057,
2006-10,1.037,
2006-11,1.083,
2006-12,1.138,
2007-01,0.953,
2007-02,1.023,
2007-03,1.132,
2007-04,1.108,
2007-05,1.153,
2007-06,1.185,
2007-07,1.101,
2007-08,1.049,
2007-09,1.141,
2007-10,1.251,
2007-11,1.282,
2007-12,1.315,
2008-01,1.264,
2008-02,1.295,
2008-03,1.295,
2008-04,1.282,
2008-05,1.346,
2008-06,1.363,
2008-07,1.131,
2008-08,1.197,
2008-09,1.353,
2008-10,1.352,
2008-11,1.189,
2008-12,1.169,
2009-01,1.047,
2009-02,1.038,
2009-03,1.110,
2009-04,0.897,
2009-05,1.004,
2009-06,1.001,
2009-07,1.070,
2009-08,0.945,
2009-09,1.111,
2009-10,1.076,
2009-11,0.924,
2009-12,1.041,
2010-01,0.967,
2010-02,0.948,
2010-03,1.155,
2010-04,1.123,
2010-05,1.079,
2010-06,1.202,
2010-07,1.119,
2010-08,1.085,
2010-09,1.277,
2010-10,1.233,
2010-11,1.262,
2010-12,1.254,
2011-01,1.176,
2011-02,1.155,
2011-03,1.294,
2011-04,1.359,
2011-05,1.159,
2011-06,1.178,
2011-07,1.108,
2011-08,1.176,
2011-09,1.278,
2011-10,1.319,
2011-11,1.385,
2011-12,1.339,
2012-01,1.223,
2012-02,1.455,
2012-03,1.341,
2012-04,1.302,
2012-05,1.224,
2012-06,1.271,
2012-07,1.234,
2012-08,1.182,
2012-09,1.374,
2012-10,1.336,
2012-11,1.261,
2012-12,1.281,
2013-01,1.282,
2013-02,1.448,
2013-03,1.612,
2013-04,1.500,
2013-05,1.275,
2013-06,1.409,
2013-07,1.214,
2013-08,1.240,
2013-09,1.453,
2013-10,1.489,
2013-11,1.554,
2013-12,1.619,
2014-01,1.501,
2014-02,1.386,
2014-03,1.528,
2014-04,1.408,
2014-05,1.325,
2014-06,1.401,
2014-07,1.311,
2014-08,1.279,
2014-09,1.478,
2014-10,1.506,
2014-11,1.504,
2014-12,1.554,
