"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F2.T._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F2.T._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Currency and deposits / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:46,
1991-01,-4958.577,
1991-02,4082.113,
1991-03,-6017.166,
1991-04,-12435.854,
1991-05,-6579.530,
1991-06,2759.586,
1991-07,-5817.947,
1991-08,1476.416,
1991-09,591.029,
1991-10,1992.828,
1991-11,5932.377,
1991-12,8229.637,
1992-01,-8517.598,
1992-02,-3760.857,
1992-03,1851.364,
1992-04,-2725.949,
1992-05,-5122.135,
1992-06,-2649.664,
1992-07,4148.088,
1992-08,2320.923,
1992-09,-2220.347,
1992-10,6644.408,
1992-11,2748.412,
1992-12,-3064.577,
1993-01,-7553.765,
1993-02,5868.827,
1993-03,9709.617,
1993-04,-2300.271,
1993-05,2222.450,
1993-06,15061.043,
1993-07,-6513.014,
1993-08,-13751.808,
1993-09,13808.031,
1993-10,-927.910,
1993-11,11488.912,
1993-12,24249.405,
1994-01,-8419.866,
1994-02,-725.673,
1994-03,-17965.968,
1994-04,-6212.341,
1994-05,-3640.409,
1994-06,-1905.836,
1994-07,-2253.161,
1994-08,-1392.508,
1994-09,1760.032,
1994-10,-3370.499,
1994-11,7493.019,
1994-12,16806.284,
1995-01,-10641.217,
1995-02,7084.063,
1995-03,1653.065,
1995-04,3223.268,
1995-05,2239.194,
1995-06,6467.942,
1995-07,-2887.844,
1995-08,8902.849,
1995-09,2617.660,
1995-10,-5765.232,
1995-11,7933.949,
1995-12,3972.746,
1996-01,-13105.068,
1996-02,4989.297,
1996-03,-2175.596,
1996-04,-10428.947,
1996-05,2579.789,
1996-06,8248.933,
1996-07,-2231.972,
1996-08,2979.907,
1996-09,3029.039,
1996-10,-10036.853,
1996-11,11246.449,
1996-12,18741.591,
1997-01,-11429.938,
1997-02,1919.870,
1997-03,6400.122,
1997-04,-604.797,
1997-05,-5501.036,
1997-06,15117.898,
1997-07,-1944.701,
1997-08,-4509.513,
1997-09,1336.491,
1997-10,4207.950,
1997-11,15097.406,
1997-12,6436.567,
1998-01,-6134.777,
1998-02,-3571.839,
1998-03,-1039.762,
1998-04,3847.503,
1998-05,3475.688,
1998-06,2456.352,
1998-07,-13799.985,
1998-08,15363.884,
1998-09,-7959.330,
1998-10,9936.737,
1998-11,21964.487,
1998-12,15469.401,
1999-01,60379.426,
1999-02,-46332.509,
1999-03,-1723.426,
1999-04,1799.185,
1999-05,-19162.488,
1999-06,4534.972,
1999-07,6741.046,
1999-08,1620.971,
1999-09,-6295.385,
1999-10,8703.885,
1999-11,19469.695,
1999-12,-36361.670,
2000-01,11939.973,
2000-02,1408.454,
2000-03,-7868.619,
2000-04,4276.188,
2000-05,9739.834,
2000-06,-702.416,
2000-07,-5528.570,
2000-08,12895.184,
2000-09,3925.616,
2000-10,7419.325,
2000-11,10634.240,
2000-12,-4410.084,
2001-01,-882.432,
2001-02,13097.141,
2001-03,25375.496,
2001-04,723.765,
2001-05,-12752.112,
2001-06,11272.132,
2001-07,-26193.056,
2001-08,19861.927,
2001-09,25252.026,
2001-10,-141.077,
2001-11,13700.867,
2001-12,-17863.271,
2002-01,-13703.393,
2002-02,-20473.105,
2002-03,11257.578,
2002-04,10408.776,
2002-05,28669.644,
2002-06,8873.647,
2002-07,-1485.208,
2002-08,13851.662,
2002-09,26350.738,
2002-10,12043.264,
2002-11,34802.250,
2002-12,-10916.799,
2003-01,6367.494,
2003-02,17659.286,
2003-03,16677.622,
2003-04,4550.172,
2003-05,25330.148,
2003-06,24727.102,
2003-07,-20240.383,
2003-08,-15433.070,
2003-09,3252.545,
2003-10,-18989.309,
2003-11,13971.693,
2003-12,7996.330,
2004-01,13815.758,
2004-02,-679.265,
2004-03,5140.320,
2004-04,17413.824,
2004-05,14828.025,
2004-06,-4184.171,
2004-07,-9896.068,
2004-08,-1740.106,
2004-09,23016.208,
2004-10,19826.112,
2004-11,26884.973,
2004-12,-9506.762,
2005-01,15861.135,
2005-02,34466.204,
2005-03,-5540.401,
2005-04,21725.093,
2005-05,-4188.660,
2005-06,10062.538,
2005-07,-2415.465,
2005-08,-21935.107,
2005-09,20316.913,
2005-10,14031.009,
