"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.CZ.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.CZ.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Czech Republic,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:02,
2009-09,841,
2009-10,917,
2009-11,913,
2009-12,928,
2010-01,885,
2010-02,950,
2010-03,953,
2010-04,1061,
2010-05,1086,
2010-06,1197,
2010-07,1233,
2010-08,1279,
2010-09,1432,
2010-10,1438,
2010-11,1416,
2010-12,1404,
2011-01,1404,
2011-02,1363,
2011-03,1334,
2011-04,1387,
2011-05,1419,
2011-06,1569,
2011-07,1604,
2011-08,1721,
2011-09,1649,
2011-10,1636,
2011-11,1598,
2011-12,1639,
2012-01,1620,
2012-02,1911,
2012-03,2077,
2012-04,2103,
2012-05,2132,
2012-06,2168,
2012-07,2316,
2012-08,2435,
2012-09,2413,
2012-10,2718,
2012-11,2744,
2012-12,2754,
2013-01,2655,
2013-02,2593,
2013-03,2593,
2013-04,2755,
2013-05,2859,
2013-06,2753,
2013-07,2743,
2013-08,2696,
2013-09,2610,
2013-10,2559,
2013-11,2521,
2013-12,2484,
2014-01,2468,
2014-02,2497,
2014-03,2484,
2014-04,2380,
2014-05,2321,
2014-06,2305,
2014-07,2270,
2014-08,2270,
2014-09,2249,
2014-10,2287,
2014-11,2268,
