"",BBK01.OEAN02O,BBK01.OEAN02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:05,
2002-01,-0.800,
2002-04,-1.464,
2002-07,-1.782,
2002-10,-4.306,
2003-01,-5.635,
2003-04,-6.150,
2003-07,-6.861,
2003-10,-8.747,
2004-01,-9.777,
2004-04,-10.393,
2004-07,-10.568,
2004-10,-10.994,
2005-01,23.591,
2005-04,23.500,
2005-07,23.022,
2005-10,23.300,
2006-01,23.112,
2006-04,23.023,
2006-07,22.743,
2006-10,22.589,
2007-01,22.009,
2007-04,21.401,
2007-07,20.784,
2007-10,20.181,
2008-01,19.692,
2008-04,19.177,
2008-07,18.381,
2008-10,18.375,
2009-01,18.879,
2009-04,20.020,
2009-07,21.117,
2009-10,21.917,
2010-01,22.621,
2010-04,22.584,
2010-07,22.691,
2010-10,23.036,
2011-01,23.107,
2011-04,22.901,
2011-07,22.711,
2011-10,22.722,
2012-01,22.605,
2012-04,22.248,
2012-07,21.849,
2012-10,21.592,
2013-01,20.998,
2013-04,20.671,
2013-07,20.355,
2013-10,20.392,
2014-01,19.918,
2014-04,19.530,
2014-07,19.329,
