"",BBFB1.Q.N.DE.A1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:20,
1991-01,5240.380,
1991-04,790.719,
1991-07,823.346,
1991-10,804.091,
1992-01,939.066,
1992-04,975.163,
1992-07,1002.338,
1992-10,1082.946,
1993-01,1279.991,
1993-04,1202.238,
1993-07,1161.190,
1993-10,1228.623,
1994-01,1616.741,
1994-04,1661.505,
1994-07,1639.259,
1994-10,1606.024,
1995-01,694.981,
1995-04,678.259,
1995-07,694.304,
1995-10,691.731,
1996-01,1479.601,
1996-04,1527.412,
1996-07,1559.431,
1996-10,1591.510,
1997-01,2066.804,
1997-04,2069.177,
1997-07,2092.624,
1997-10,2062.320,
1998-01,909.456,
1998-04,947.393,
1998-07,1022.047,
1998-10,1054.255,
1999-01,1070.765,
1999-04,1171.366,
1999-07,1184.115,
1999-10,1277.020,
2000-01,2109.895,
2000-04,1864.582,
2000-07,1954.822,
2000-10,2347.340,
2001-01,3315.452,
2001-04,3627.251,
2001-07,3575.344,
2001-10,3589.531,
2002-01,5096.945,
2002-04,5455.707,
2002-07,5087.510,
2002-10,6067.068,
2003-01,3610.962,
2003-04,3543.416,
2003-07,3753.248,
2003-10,3343.600,
2004-01,1809.328,
2004-04,1833.142,
2004-07,1818.934,
2004-10,1810.424,
2005-01,3389.314,
2005-04,3587.736,
2005-07,3494.804,
2005-10,3792.981,
2006-01,1459.028,
2006-04,1293.931,
2006-07,1451.477,
2006-10,1244.950,
2007-01,2621.702,
2007-04,2716.705,
2007-07,2913.004,
2007-10,2692.789,
2008-01,2271.777,
2008-04,2485.176,
2008-07,2555.305,
2008-10,2373.754,
2009-01,2175.232,
2009-04,2618.639,
2009-07,1919.823,
2009-10,2357.409,
2010-01,1977.557,
2010-04,2199.521,
2010-07,2274.773,
2010-10,2511.359,
2011-01,2399.424,
2011-04,2642.662,
2011-07,2520.768,
2011-10,2646.205,
2012-01,2413.257,
2012-04,2396.061,
2012-07,2416.605,
2012-10,2538.259,
2013-01,2031.536,
2013-04,1914.563,
2013-07,1900.280,
2013-10,2158.984,
2014-01,2683.911,Provisional value
2014-04,2772.664,Provisional value
2014-07,3349.544,Provisional value
