"",BBEX3.M.ETB.USD.CA.AC.A01,BBEX3.M.ETB.USD.CA.AC.A01_FLAGS
2003-11,8.6887000,
2003-12,8.6957000,
2004-01,8.7019500,
2004-02,8.7052500,
2004-03,8.7085000,
2004-04,8.7129000,
2004-05,8.7144500,
2004-06,8.7177500,
2004-07,8.7208000,
2004-08,8.7278000,
2004-09,8.7298000,
2004-10,8.7321000,
2004-11,8.7346000,
2004-12,8.7370500,
2005-01,8.7397500,
2005-02,8.7421500,
2005-03,8.7446000,
2005-04,8.7476000,
2005-05,8.7501000,
2005-06,8.7528000,
2005-07,8.7553000,
2005-08,8.7580500,
2005-09,8.7604000,
2005-10,8.7629500,
2005-11,8.7654000,
2005-12,8.7680000,
2006-01,8.7702500,
2006-02,8.7725000,
2006-03,8.7750000,
2006-04,8.7770000,
2006-05,8.7793500,
2006-06,8.7817500,
2006-07,8.7842500,
2006-08,8.7868000,
2006-09,8.7890000,
2006-10,8.7912500,
2006-11,8.7937000,
2006-12,8.8635000,
2007-01,8.9277500,
2007-02,8.9299500,
2007-03,8.9323000,
2007-04,8.9496500,
2007-05,9.0433000,
2007-06,9.1197000,
2007-07,9.1232000,
2007-08,9.1261500,
2007-09,9.1285500,
2007-10,9.1318000,
2007-11,9.1347000,
2007-12,9.2928000,
2008-01,9.3315000,
2008-02,9.4290500,
2008-03,9.5866000,
2008-04,9.6269000,
2008-05,9.6635500,
2008-06,9.7042500,
2008-07,9.7489000,
2008-08,9.7696000,
2008-09,9.7893500,
2008-10,9.8853500,
2008-11,10.0220500,
2008-12,10.0546500,
2009-01,11.1267500,
2009-02,11.1615000,
2009-03,11.2192000,
2009-04,11.2810000,
2009-05,11.3357500,
2009-06,11.4105000,
2009-07,12.5949000,
2009-08,12.6295500,
2009-09,12.6615500,
2009-10,12.6897500,
2009-11,12.7223500,
2009-12,12.7661000,
2010-01,13.4556240,comment
2010-02,13.4814800,
2010-03,13.5347070,
2010-04,13.5785410,
2010-05,13.5527500,
2010-06,13.6674210,
2010-07,13.7156990,
2010-08,13.7646840,
2010-09,16.5526880,comment
2010-10,16.5954110,
2010-11,16.6528800,
2010-12,16.7136820,
2011-01,16.7669090,
2011-02,16.8212470,
2011-03,16.8877050,
2011-04,16.9450730,
2011-05,17.0110500,
2011-06,17.0742520,
2011-07,17.1343470,
2011-08,17.1992900,
2011-09,17.2520120,
2011-10,17.2966540,
2011-11,17.3413970,
2011-12,17.3923000,
2012-01,17.4510000,
2012-02,17.5088500,
2012-03,17.5641000,
2012-04,17.6500500,
2012-05,17.7789500,
2012-06,17.9078000,
2012-07,18.0165000,
2012-08,18.0862500,
2012-09,18.1431500,
2012-10,18.2149500,
2012-11,18.2920000,
2012-12,18.3661500,
2013-01,18.4415000,
2013-02,18.5138000,
2013-03,18.5888500,
2013-04,18.6778500,
2013-05,18.7591500,
2013-06,18.8290500,
2013-07,18.8946000,
2013-08,18.9545500,
2013-09,19.0137500,
2013-10,19.0855500,
2013-11,19.1648500,
2013-12,19.2493000,
2014-01,19.3303000,
2014-02,19.4117000,
2014-03,19.4974500,
2014-04,19.5877500,
2014-05,19.6735000,
2014-06,19.7728500,
2014-07,19.8756000,
2014-08,19.9732500,
2014-09,20.0715500,
2014-10,20.1540500,
2014-11,20.2231500,
2014-12,20.3034000,
2015-01,20.3733000,
2015-02,20.4519000,
"","Source: Calculated on the basis of the buying and selling rates of the following banks:Since December 2011: Commercial Bank of Ethiopia, Addis Ababa.September 1998 - November 2011: National Bank of Ethiopia, Addis Ababa.1996 - August 1998: National Bank of Ethiopia,  Addis Ababa (for middle rates).",
"",Comment on 2010-01: Exchange rate as of 9 February 2010.,
"","Comment on 2010-09: On 1 September 2010, the Ethiopian birr was devalued. Calculated using the exchange rates from 31 August and 1 September (USD 1 = ETB 16.3514 / 16.6784 (buying/selling rate)) the birr was devalued by 16.7%.",
