"",BBK01.OEAH88M,BBK01.OEAH88M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:08,
2002-01,3.551,
2002-04,3.871,
2002-07,3.080,
2002-10,1.776,
2003-01,2.577,
2003-04,2.608,
2003-07,2.295,
2003-10,1.477,
2004-01,1.466,
2004-04,1.495,
2004-07,1.071,
2004-10,0.839,
2005-01,0.586,
2005-04,0.496,
2005-07,0.743,
2005-10,0.879,
2006-01,0.590,
2006-04,0.681,
2006-07,0.748,
2006-10,0.899,
2007-01,0.982,
2007-04,0.296,
2007-07,0.680,
2007-10,0.914,
2008-01,1.262,
2008-04,0.905,
2008-07,0.941,
2008-10,0.952,
2009-01,0.494,
2009-04,0.805,
2009-07,0.696,
2009-10,0.516,
2010-01,0.414,
2010-04,0.498,
2010-07,0.651,
2010-10,0.743,
2011-01,0.570,
2011-04,0.439,
2011-07,0.618,
2011-10,1.284,
2012-01,1.784,
2012-04,1.598,
2012-07,1.930,
2012-10,1.140,
2013-01,1.196,
2013-04,0.937,
2013-07,0.678,
2013-10,1.008,
2014-01,0.295,
2014-04,0.334,
2014-07,0.277,
