"",BBK01.OEXL07K,BBK01.OEXL07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:27,
2002-01,1.726,
2002-04,1.678,
2002-07,1.696,
2002-10,1.753,
2003-01,1.809,
2003-04,1.785,
2003-07,1.749,
2003-10,1.755,
2004-01,1.733,
2004-04,1.711,
2004-07,1.653,
2004-10,1.151,
2005-01,1.169,
2005-04,1.169,
2005-07,1.142,
2005-10,1.175,
2006-01,1.194,
2006-04,1.213,
2006-07,1.183,
2006-10,1.236,
2007-01,1.384,
2007-04,1.447,
2007-07,1.491,
2007-10,1.614,
2008-01,1.724,
2008-04,1.749,
2008-07,1.772,
2008-10,2.198,
2009-01,2.144,
2009-04,2.156,
2009-07,2.188,
2009-10,2.092,
2010-01,1.970,
2010-04,1.943,
2010-07,1.952,
2010-10,2.174,
2011-01,2.281,
2011-04,2.179,
2011-07,2.128,
2011-10,2.138,
2012-01,2.073,
2012-04,2.090,
2012-07,2.122,
2012-10,2.081,
2013-01,2.047,
2013-04,2.013,
2013-07,1.995,
2013-10,2.000,
2014-01,1.984,
2014-04,1.969,
2014-07,2.063,
