"",BBK01.OEAE31L,BBK01.OEAE31L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:16,
2002-01,28.003,
2002-04,27.914,
2002-07,27.760,
2002-10,29.830,
2003-01,31.754,
2003-04,32.729,
2003-07,33.225,
2003-10,33.074,
2004-01,33.292,
2004-04,34.563,
2004-07,34.348,
2004-10,35.341,
2005-01,34.719,
2005-04,35.607,
2005-07,35.193,
2005-10,34.702,
2006-01,34.845,
2006-04,34.989,
2006-07,35.303,
2006-10,34.714,
2007-01,34.626,
2007-04,33.574,
2007-07,35.598,
2007-10,36.419,
2008-01,36.002,
2008-04,34.592,
2008-07,34.719,
2008-10,34.565,
2009-01,33.185,
2009-04,33.877,
2009-07,33.215,
2009-10,33.511,
2010-01,32.404,
2010-04,32.127,
2010-07,32.007,
2010-10,31.489,
2011-01,31.440,
2011-04,30.820,
2011-07,30.678,
2011-10,29.114,
2012-01,28.592,
2012-04,27.589,
2012-07,26.903,
2012-10,24.829,
2013-01,24.765,
2013-04,23.623,
2013-07,22.822,
2013-10,22.346,
2014-01,21.486,
2014-04,20.208,
2014-07,20.019,
