"",BBDE1.M.DE.Y.AEP1.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.AEP1.A2P310000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, euro-area countries / At current prices, flows / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:07,
2010-01,90.3,
2010-02,92.7,
2010-03,95.3,
2010-04,99.5,
2010-05,98.0,
2010-06,98.7,
2010-07,101.1,
2010-08,102.3,
2010-09,103.8,
2010-10,104.3,
2010-11,103.7,
2010-12,107.5,
2011-01,114.7,
2011-02,113.7,
2011-03,114.5,
2011-04,111.8,
2011-05,109.6,
2011-06,111.7,
2011-07,109.8,
2011-08,114.4,
2011-09,108.5,
2011-10,105.7,
2011-11,103.3,
2011-12,98.0,
2012-01,108.8,
2012-02,104.8,
2012-03,105.2,
2012-04,104.2,
2012-05,105.6,
2012-06,104.5,
2012-07,105.1,
2012-08,104.5,
2012-09,98.6,
2012-10,104.0,
2012-11,103.2,
2012-12,106.3,
2013-01,101.2,
2013-02,102.0,
2013-03,110.4,
2013-04,102.4,
2013-05,103.4,
2013-06,103.0,
2013-07,100.0,
2013-08,101.6,
2013-09,102.1,
2013-10,106.7,
2013-11,104.2,
2013-12,102.8,
2014-01,105.2,
2014-02,104.8,
2014-03,102.8,
2014-04,106.8,
2014-05,101.7,
2014-06,103.6,
2014-07,104.6,
2014-08,103.1,
2014-09,103.7,
2014-10,107.4,
2014-11,102.9,
2014-12,109.6,Provisional value
