"",BBK01.CEBQ01,BBK01.CEBQ01_FLAGS
"",short-term time deposits  debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:35,
1991-01,67.5,
1991-04,67.1,
1991-07,67.4,
1991-10,71.9,
1992-01,71.7,
1992-04,75.7,
1992-07,77.4,
1992-10,74.1,
1993-01,77.0,
1993-04,76.2,
1993-07,78.6,
1993-10,85.9,
1994-01,90.7,
1994-04,88.7,
1994-07,90.8,
1994-10,96.8,
1995-01,100.0,
1995-04,101.2,
1995-07,100.1,
1995-10,91.4,
1996-01,91.3,
1996-04,86.6,
1996-07,87.0,
1996-10,97.8,
1997-01,102.4,
1997-04,98.3,
1997-07,97.3,
1997-10,94.3,
1998-01,95.0,
1998-04,93.9,
1998-07,95.2,
1998-10,93.7,
1999-01,97.3,
1999-04,97.3,
1999-07,98.8,
1999-10,97.1,
2000-01,103.4,
2000-04,102.5,
2000-07,102.5,
2000-10,96.2,
2001-01,105.8,
2001-04,99.3,
2001-07,100.6,
2001-10,102.1,
2002-01,97.3,
2002-04,101.0,
2002-07,106.3,
2002-10,106.8,
2003-01,107.0,
2003-04,109.4,
2003-07,108.6,
2003-10,103.8,
2004-01,100.1,
2004-04,100.3,
2004-07,99.5,
2004-10,109.3,
2005-01,106.0,
2005-04,106.9,
2005-07,115.6,
2005-10,112.2,
2006-01,115.7,
2006-04,117.8,
2006-07,119.4,
2006-10,120.0,
2007-01,124.4,
2007-04,119.7,
2007-07,134.8,
2007-10,143.1,
2008-01,130.0,
2008-04,136.0,
2008-07,138.9,
2008-10,134.5,
2009-01,125.3,
2009-04,117.6,
2009-07,117.4,
2009-10,103.3,
2010-01,105.5,
2010-04,90.5,
2010-07,102.6,
2010-10,105.2,
2011-01,93.7,
2011-04,80.4,
2011-07,64.4,
2011-10,76.6,
2012-01,75.8,
2012-04,61.8,
2012-07,56.8,
2012-10,62.7,
2013-01,44.4,
2013-04,27.0,
2013-07,43.8,
2013-10,47.9,
2014-01,26.3,
