"",BBSF2.M.1.T.00000.HED01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Hedgefunds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:13,
2009-09,316,
2009-10,333,
2009-11,312,
2009-12,474,
2010-01,577,
2010-02,593,
2010-03,609,
2010-04,616,
2010-05,642,
2010-06,644,
2010-07,614,
2010-08,632,
2010-09,620,
2010-10,621,
2010-11,662,
2010-12,661,
2011-01,650,
2011-02,658,
2011-03,629,
2011-04,640,
2011-05,673,
2011-06,659,
2011-07,621,
2011-08,594,
2011-09,608,
2011-10,630,
2011-11,636,
2011-12,653,
2012-01,687,
2012-02,693,
2012-03,684,
2012-04,686,
2012-05,700,
2012-06,697,
2012-07,718,
2012-08,707,
2012-09,711,
2012-10,812,
2012-11,709,
2012-12,707,
2013-01,714,
2013-02,721,
2013-03,760,
2013-04,1318,
2013-05,844,
2013-06,837,
2013-07,865,
2013-08,821,
2013-09,823,
2013-10,891,
2013-11,904,
2013-12,898,
2014-01,923,
2014-02,929,
2014-03,940,
2014-04,1617,
2014-05,999,
2014-06,1010,
2014-07,1052,
2014-08,1072,
2014-09,1083,
2014-10,1111,
2014-11,1126,
