"",BBK01.OEAH85V,BBK01.OEAH85V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:15,
2002-01,5.398,
2002-04,3.779,
2002-07,3.361,
2002-10,6.460,
2003-01,2.901,
2003-04,3.365,
2003-07,3.682,
2003-10,2.683,
2004-01,3.046,
2004-04,3.128,
2004-07,3.071,
2004-10,2.864,
2005-01,2.547,
2005-04,3.081,
2005-07,2.305,
2005-10,2.123,
2006-01,2.215,
2006-04,1.987,
2006-07,2.200,
2006-10,2.232,
2007-01,2.307,
2007-04,2.256,
2007-07,2.393,
2007-10,2.534,
2008-01,2.333,
2008-04,1.754,
2008-07,1.791,
2008-10,1.778,
2009-01,1.751,
2009-04,0.355,
2009-07,0.369,
2009-10,1.802,
2010-01,2.047,
2010-04,1.739,
2010-07,1.226,
2010-10,1.160,
2011-01,1.178,
2011-04,1.123,
2011-07,1.623,
2011-10,1.521,
2012-01,1.469,
2012-04,1.565,
2012-07,1.552,
2012-10,1.162,
2013-01,1.155,
2013-04,0.868,
2013-07,1.008,
2013-10,0.935,
2014-01,0.928,
2014-04,0.970,
2014-07,0.991,
