"",BBK01.OECB16V,BBK01.OECB16V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:25,
2002-01,1.304,
2002-04,1.294,
2002-07,1.278,
2002-10,1.241,
2003-01,1.212,
2003-04,1.187,
2003-07,1.168,
2003-10,1.121,
2004-01,1.114,
2004-04,1.159,
2004-07,1.134,
2004-10,1.102,
2005-01,1.162,
2005-04,1.144,
2005-07,1.133,
2005-10,1.106,
2006-01,1.092,
2006-04,1.065,
2006-07,1.058,
2006-10,1.012,
2007-01,1.002,
2007-04,0.995,
2007-07,0.983,
2007-10,0.974,
2008-01,0.962,
2008-04,0.963,
2008-07,0.968,
2008-10,0.960,
2009-01,0.948,
2009-04,1.882,
2009-07,1.849,
2009-10,1.796,
2010-01,1.785,
2010-04,1.767,
2010-07,1.155,
2010-10,1.134,
2011-01,1.174,
2011-04,1.156,
2011-07,1.128,
2011-10,1.121,
2012-01,1.089,
2012-04,1.067,
2012-07,1.054,
2012-10,1.050,
2013-01,1.042,
2013-04,1.044,
2013-07,1.041,
2013-10,1.059,
2014-01,1.051,
2014-04,1.059,
2014-07,1.040,
