"",BBFB1.Q.N.DE.E1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:11,
1991-01,2579.402,
1991-04,2763.367,
1991-07,2890.085,
1991-10,2686.561,
1992-01,2953.073,
1992-04,2979.839,
1992-07,3092.994,
1992-10,3143.630,
1993-01,3210.923,
1993-04,2940.442,
1993-07,2876.271,
1993-10,3225.988,
1994-01,2769.620,
1994-04,2713.794,
1994-07,2555.056,
1994-10,2968.702,
1995-01,3805.543,
1995-04,3612.373,
1995-07,3646.437,
1995-10,3652.859,
1996-01,3188.472,
1996-04,3354.681,
1996-07,3667.683,
1996-10,3588.336,
1997-01,3531.013,
1997-04,3694.770,
1997-07,3690.509,
1997-10,3415.602,
1998-01,3966.987,
1998-04,4834.205,
1998-07,4585.273,
1998-10,4548.822,
1999-01,5101.478,
1999-04,6659.226,
1999-07,6181.303,
1999-10,6176.613,
2000-01,5504.059,
2000-04,6328.474,
2000-07,6107.681,
2000-10,6358.924,
2001-01,5940.278,
2001-04,7269.759,
2001-07,7360.275,
2001-10,6265.856,
2002-01,4722.526,
2002-04,5640.354,
2002-07,5489.556,
2002-10,5848.344,
2003-01,7774.209,
2003-04,9503.437,
2003-07,8510.166,
2003-10,7838.488,
2004-01,7698.012,
2004-04,8557.204,
2004-07,7234.274,
2004-10,7082.608,
2005-01,6062.356,
2005-04,8009.667,
2005-07,6711.671,
2005-10,6239.299,
2006-01,7481.006,
2006-04,9122.880,
2006-07,6974.296,
2006-10,6824.590,
2007-01,5488.418,
2007-04,9341.011,
2007-07,6029.282,
2007-10,5770.188,
2008-01,7036.490,
2008-04,9790.396,
2008-07,6357.432,
2008-10,6089.802,
2009-01,5639.813,
2009-04,8033.554,
2009-07,5575.408,
2009-10,5295.357,
2010-01,5874.801,
2010-04,8671.198,
2010-07,6905.119,
2010-10,7198.737,
2011-01,8080.445,
2011-04,12267.843,
2011-07,9099.912,
2011-10,9096.888,
2012-01,9345.875,
2012-04,12099.398,
2012-07,9677.889,
2012-10,9445.986,
2013-01,9323.240,
2013-04,11180.665,
2013-07,9922.858,
2013-10,9599.781,
2014-01,9208.139,Provisional value
2014-04,12513.208,Provisional value
2014-07,9482.061,Provisional value
