"",BBK01.OEYJ05J,BBK01.OEYJ05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:56,
2002-01,5.305,
2002-04,5.369,
2002-07,5.428,
2002-10,5.596,
2003-01,5.404,
2003-04,5.506,
2003-07,5.601,
2003-10,5.816,
2004-01,6.065,
2004-04,6.328,
2004-07,6.727,
2004-10,7.065,
2005-01,7.477,
2005-04,7.537,
2005-07,7.634,
2005-10,8.222,
2006-01,8.290,
2006-04,8.660,
2006-07,8.996,
2006-10,9.146,
2007-01,9.607,
2007-04,9.583,
2007-07,9.796,
2007-10,10.034,
2008-01,10.305,
2008-04,10.419,
2008-07,10.309,
2008-10,10.411,
2009-01,10.619,
2009-04,10.751,
2009-07,10.718,
2009-10,10.815,
2010-01,10.806,
2010-04,10.645,
2010-07,10.465,
2010-10,10.422,
2011-01,10.374,
2011-04,10.337,
2011-07,10.180,
2011-10,9.974,
2012-01,9.852,
2012-04,5.367,
2012-07,5.235,
2012-10,5.076,
2013-01,5.006,
2013-04,4.980,
2013-07,4.875,
2013-10,4.789,
2014-01,4.602,
2014-04,4.374,
2014-07,4.310,
