"",BBK01.OECB05M,BBK01.OECB05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:37,
2002-01,13.838,
2002-04,13.405,
2002-07,12.553,
2002-10,12.626,
2003-01,12.480,
2003-04,11.869,
2003-07,11.654,
2003-10,11.085,
2004-01,10.997,
2004-04,10.873,
2004-07,10.883,
2004-10,11.504,
2005-01,19.255,
2005-04,19.198,
2005-07,19.206,
2005-10,18.865,
2006-01,18.930,
2006-04,20.662,
2006-07,20.603,
2006-10,20.935,
2007-01,23.034,
2007-04,20.138,
2007-07,19.648,
2007-10,20.259,
2008-01,19.912,
2008-04,19.611,
2008-07,19.293,
2008-10,18.434,
2009-01,18.141,
2009-04,19.230,
2009-07,18.551,
2009-10,17.734,
2010-01,17.756,
2010-04,17.361,
2010-07,17.556,
2010-10,17.023,
2011-01,16.989,
2011-04,16.696,
2011-07,16.555,
2011-10,16.216,
2012-01,16.195,
2012-04,15.968,
2012-07,15.789,
2012-10,15.510,
2013-01,15.649,
2013-04,15.719,
2013-07,15.397,
2013-10,15.517,
2014-01,15.461,
2014-04,15.488,
2014-07,15.347,
