"",BBK01.OEAJ01G,BBK01.OEAJ01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:57,
2002-01,77.831,
2002-04,79.621,
2002-07,79.551,
2002-10,83.359,
2003-01,83.010,
2003-04,81.135,
2003-07,84.007,
2003-10,86.078,
2004-01,85.883,
2004-04,86.057,
2004-07,88.234,
2004-10,90.213,
2005-01,82.352,
2005-04,85.244,
2005-07,87.190,
2005-10,88.222,
2006-01,87.427,
2006-04,88.915,
2006-07,93.681,
2006-10,95.818,
2007-01,100.527,
2007-04,103.127,
2007-07,105.710,
2007-10,108.098,
2008-01,103.006,
2008-04,112.990,
2008-07,125.702,
2008-10,126.607,
2009-01,131.931,
2009-04,143.243,
2009-07,144.283,
2009-10,149.318,
2010-01,142.966,
2010-04,142.485,
2010-07,145.105,
2010-10,144.743,
2011-01,146.708,
2011-04,143.912,
2011-07,149.385,
2011-10,143.394,
2012-01,146.139,
2012-04,132.813,
2012-07,130.748,
2012-10,124.549,
2013-01,123.649,
2013-04,120.143,
2013-07,111.549,
2013-10,112.778,
2014-01,112.220,
2014-04,112.057,
2014-07,109.455,
