"",BBK01.OEAH04J,BBK01.OEAH04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:56,
2002-01,2.913,
2002-04,2.736,
2002-07,2.532,
2002-10,2.495,
2003-01,2.351,
2003-04,2.552,
2003-07,2.446,
2003-10,2.155,
2004-01,2.400,
2004-04,2.362,
2004-07,2.456,
2004-10,2.065,
2005-01,2.293,
2005-04,2.372,
2005-07,2.476,
2005-10,2.977,
2006-01,2.774,
2006-04,2.848,
2006-07,2.906,
2006-10,2.706,
2007-01,2.712,
2007-04,2.962,
2007-07,3.781,
2007-10,3.829,
2008-01,3.799,
2008-04,4.564,
2008-07,4.949,
2008-10,4.938,
2009-01,4.124,
2009-04,3.707,
2009-07,3.384,
2009-10,3.183,
2010-01,3.398,
2010-04,3.781,
2010-07,3.518,
2010-10,3.683,
2011-01,3.528,
2011-04,3.519,
2011-07,3.657,
2011-10,3.768,
2012-01,3.928,
2012-04,3.468,
2012-07,2.962,
2012-10,2.704,
2013-01,2.726,
2013-04,2.611,
2013-07,2.434,
2013-10,2.233,
2014-01,2.875,
2014-04,2.815,
2014-07,2.762,
