"",BBK01.OEHL07K,BBK01.OEHL07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:09,
2002-01,6.572,
2002-04,6.363,
2002-07,6.376,
2002-10,6.641,
2003-01,6.693,
2003-04,6.638,
2003-07,6.576,
2003-10,6.692,
2004-01,6.655,
2004-04,6.618,
2004-07,6.543,
2004-10,6.706,
2005-01,6.689,
2005-04,6.675,
2005-07,6.541,
2005-10,6.506,
2006-01,6.569,
2006-04,6.498,
2006-07,6.406,
2006-10,6.379,
2007-01,6.369,
2007-04,6.243,
2007-07,6.099,
2007-10,6.163,
2008-01,6.306,
2008-04,6.209,
2008-07,6.116,
2008-10,6.531,
2009-01,6.345,
2009-04,6.083,
2009-07,5.820,
2009-10,5.683,
2010-01,5.626,
2010-04,5.548,
2010-07,5.464,
2010-10,5.460,
2011-01,5.488,
2011-04,5.704,
2011-07,5.703,
2011-10,5.718,
2012-01,5.679,
2012-04,5.647,
2012-07,5.610,
2012-10,5.605,
2013-01,5.640,
2013-04,5.504,
2013-07,5.598,
2013-10,5.728,
2014-01,6.074,
2014-04,6.315,
2014-07,6.434,
