"",BBK01.BQM206,BBK01.BQM206_FLAGS
"","State government debt - of which securities other than shares, excl. financial derivates - of which long-term",
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:33,
2000-01,58385,
2000-04,59683,
2000-07,61325,
2000-10,64659,
2001-01,69240,
2001-04,71399,
2001-07,79540,
2001-10,87592,
2002-01,94855,
2002-04,106209,
2002-07,115896,
2002-10,120921,
2003-01,134720,
2003-04,144119,
2003-07,146452,
2003-10,153517,
2004-01,166152,
2004-04,172430,
2004-07,176334,
2004-10,178818,
2005-01,186415,
2005-04,189580,
2005-07,192193,
2005-10,200345,
2006-01,207929,
2006-04,214066,
2006-07,212890,
2006-10,215688,
2007-01,220066,
2007-04,221945,
2007-07,221768,
2007-10,225869,
2008-01,223068,
2008-04,248787,
2008-07,249367,
2008-10,253461,
2009-01,258464,
2009-04,277417,
2009-07,276215,
2009-10,288917,
2010-01,297159,Provisional value
2010-04,302240,Provisional value
2010-07,309057,Provisional value
2010-10,313621,Provisional value
2011-01,308282,Provisional value
2011-04,317841,Provisional value
2011-07,322494,Provisional value
2011-10,331198,Provisional value
2012-01,335838,Provisional value
2012-04,342922,Provisional value
2012-07,347339,Provisional value
2012-10,355719,Provisional value
2013-01,353466,Provisional value
2013-04,353316,Provisional value
2013-07,353935,Provisional value
2013-10,360089,Provisional value
2014-01,353750,Provisional value
2014-04,357286,Provisional value
2014-07,364715,Provisional value
