"",BBK01.OEXB20I,BBK01.OEXB20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:16,
2002-01,5.649,
2002-04,5.781,
2002-07,5.880,
2002-10,5.813,
2003-01,5.919,
2003-04,6.132,
2003-07,4.425,
2003-10,4.625,
2004-01,4.755,
2004-04,5.014,
2004-07,5.183,
2004-10,5.287,
2005-01,5.631,
2005-04,5.876,
2005-07,6.173,
2005-10,6.958,
2006-01,7.396,
2006-04,7.549,
2006-07,7.978,
2006-10,9.785,
2007-01,11.229,
2007-04,11.984,
2007-07,12.752,
2007-10,13.144,
2008-01,14.555,
2008-04,16.030,
2008-07,17.135,
2008-10,19.128,
2009-01,19.687,
2009-04,20.021,
2009-07,20.128,
2009-10,20.590,
2010-01,20.373,
2010-04,20.125,
2010-07,19.762,
2010-10,19.472,
2011-01,19.216,
2011-04,19.012,
2011-07,18.858,
2011-10,18.276,
2012-01,18.042,
2012-04,17.826,
2012-07,17.522,
2012-10,17.281,
2013-01,17.035,
2013-04,16.841,
2013-07,16.657,
2013-10,16.477,
2014-01,16.293,
2014-04,16.306,
2014-07,16.204,
