"",BBFB1.Q.N.DE.CN.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:19,
1991-01,53.665,
1991-04,396.998,
1991-07,81.237,
1991-10,-122.668,
1992-01,284.323,
1992-04,408.058,
1992-07,-163.400,
1992-10,-389.358,
1993-01,-90.266,
1993-04,123.418,
1993-07,-132.244,
1993-10,233.641,
1994-01,183.774,
1994-04,-2.730,
1994-07,304.677,
1994-10,100.486,
1995-01,607.791,
1995-04,769.038,
1995-07,-745.967,
1995-10,-109.039,
1996-01,581.328,
1996-04,-68.950,
1996-07,-502.267,
1996-10,205.031,
1997-01,543.540,
1997-04,2320.364,
1997-07,-70.875,
1997-10,658.132,
1998-01,574.750,
1998-04,937.948,
1998-07,1325.356,
1998-10,924.951,
1999-01,-142.019,
1999-04,829.296,
1999-07,1211.647,
1999-10,192.272,
2000-01,1476.922,
2000-04,861.200,
2000-07,1058.606,
2000-10,-272.920,
2001-01,313.857,
2001-04,1070.740,
2001-07,439.189,
2001-10,1247.293,
2002-01,-634.895,
2002-04,1039.244,
2002-07,103.304,
2002-10,-328.049,
2003-01,-243.140,
2003-04,-787.093,
2003-07,291.071,
2003-10,745.786,
2004-01,587.475,
2004-04,1056.935,
2004-07,152.185,
2004-10,1191.833,
2005-01,2018.591,
2005-04,1669.635,
2005-07,1456.368,
2005-10,2275.500,
2006-01,2103.924,
2006-04,1578.541,
2006-07,847.408,
2006-10,1569.071,
2007-01,989.362,
2007-04,1958.483,
2007-07,-1218.535,
2007-10,5020.729,
2008-01,2032.302,
2008-04,4967.889,
2008-07,5813.490,
2008-10,6064.289,
2009-01,9073.026,
2009-04,-9341.501,
2009-07,-65.759,
2009-10,86.931,
2010-01,2500.083,
2010-04,2938.163,
2010-07,4284.698,
2010-10,1622.216,
2011-01,-226.392,
2011-04,5699.564,
2011-07,3665.383,
2011-10,6968.053,
2012-01,11471.447,
2012-04,15701.359,
2012-07,-8078.268,
2012-10,-18941.017,
2013-01,-6727.153,
2013-04,-2297.856,
2013-07,-1081.879,
2013-10,-242.201,
2014-01,1186.536,Provisional value
2014-04,2830.979,Provisional value
2014-07,1617.797,Provisional value
2014-10,-4168.744,Provisional value
