"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.BE.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.BE.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Belgium,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:43,
2009-09,1450,
2009-10,1444,
2009-11,1422,
2009-12,1442,
2010-01,1493,
2010-02,1487,
2010-03,1477,
2010-04,1499,
2010-05,1476,
2010-06,1473,
2010-07,1471,
2010-08,1465,
2010-09,1467,
2010-10,1460,
2010-11,1466,
2010-12,1446,
2011-01,1416,
2011-02,1429,
2011-03,1426,
2011-04,1426,
2011-05,1452,
2011-06,1449,
2011-07,1474,
2011-08,1460,
2011-09,1454,
2011-10,1427,
2011-11,1438,
2011-12,1451,
2012-01,1450,
2012-02,1450,
2012-03,1432,
2012-04,1409,
2012-05,1401,
2012-06,1396,
2012-07,1393,
2012-08,1356,
2012-09,1374,
2012-10,1379,
2012-11,1374,
2012-12,1366,
2013-01,1356,
2013-02,1357,
2013-03,1357,
2013-04,1351,
2013-05,1333,
2013-06,1306,
2013-07,1305,
2013-08,1301,
2013-09,1276,
2013-10,1252,
2013-11,1250,
2013-12,1220,
2014-01,1216,
2014-02,1215,
2014-03,1203,
2014-04,1185,
2014-05,1174,
2014-06,1149,
2014-07,1149,
2014-08,1147,
2014-09,1132,
2014-10,1080,
2014-11,1078,
