"",BBK01.CEL301,BBK01.CEL301_FLAGS
"",Debt securities                                  debtor: Total            creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:20,
1999-01,22.7,
1999-04,-8.0,
1999-07,-2.5,
1999-10,24.6,
2000-01,1.1,
2000-04,1.9,
2000-07,15.1,
2000-10,30.7,
2001-01,23.0,
2001-04,5.7,
2001-07,5.8,
2001-10,-6.6,
2002-01,11.0,
2002-04,-25.4,
2002-07,1.8,
2002-10,-30.3,
2003-01,-13.1,
2003-04,-4.1,
2003-07,-7.1,
2003-10,-22.8,
2004-01,-13.5,
2004-04,-6.8,
2004-07,-16.9,
2004-10,-15.4,
2005-01,-11.5,
2005-04,16.2,
2005-07,-14.4,
2005-10,-7.6,
2006-01,0.6,
2006-04,2.9,
2006-07,5.2,
2006-10,-3.9,
2007-01,3.4,
2007-04,-0.6,
2007-07,3.4,
2007-10,-5.5,
2008-01,0.3,
2008-04,-0.9,
2008-07,-2.6,
2008-10,2.8,
2009-01,5.5,
2009-04,-0.7,
2009-07,0.0,
2009-10,0.1,
2010-01,-0.7,
2010-04,0.4,
2010-07,1.7,
2010-10,-1.6,
2011-01,3.5,
2011-04,-0.7,
2011-07,0.9,
2011-10,1.2,
2012-01,0.2,
2012-04,0.0,
2012-07,-0.6,
2012-10,-2.2,
2013-01,1.2,
2013-04,-2.0,
2013-07,1.7,
2013-10,-0.6,
2014-01,1.3,
2014-04,0.3,
2014-07,-0.1,
