"",BBK01.OEHB10J,BBK01.OEHB10J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:31,
2002-01,1.001,
2002-04,1.067,
2002-07,1.025,
2002-10,0.929,
2003-01,0.930,
2003-04,0.930,
2003-07,0.903,
2003-10,0.862,
2004-01,0.872,
2004-04,0.903,
2004-07,0.836,
2004-10,0.774,
2005-01,0.846,
2005-04,0.830,
2005-07,0.764,
2005-10,0.783,
2006-01,0.838,
2006-04,0.779,
2006-07,0.741,
2006-10,0.719,
2007-01,0.731,
2007-04,0.712,
2007-07,0.669,
2007-10,0.770,
2008-01,0.790,
2008-04,0.828,
2008-07,0.878,
2008-10,0.934,
2009-01,1.090,
2009-04,1.051,
2009-07,1.011,
2009-10,0.865,
2010-01,0.942,
2010-04,1.021,
2010-07,0.905,
2010-10,1.006,
2011-01,1.037,
2011-04,0.985,
2011-07,1.019,
2011-10,0.996,
2012-01,1.115,
2012-04,1.127,
2012-07,1.124,
2012-10,1.119,
2013-01,1.108,
2013-04,1.022,
2013-07,1.000,
2013-10,0.957,
2014-01,0.985,
2014-04,0.926,
2014-07,0.852,
