"",BBFN1.M.DE.N.1.L.SG.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SG.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:08,
1994-12,0.581,
1995-01,0.524,
1995-02,0.496,
1995-03,0.576,
1995-04,0.571,
1995-05,0.533,
1995-06,0.550,
1995-07,0.610,
1995-08,0.621,
1995-09,0.536,
1995-10,0.617,
1995-11,0.701,
1995-12,0.813,
1996-01,0.864,
1996-02,0.856,
1996-03,0.582,
1996-04,0.706,
1996-05,0.723,
1996-06,0.732,
1996-07,0.714,
1996-08,0.778,
1996-09,0.604,
1996-10,0.622,
1996-11,0.698,
1996-12,0.653,
1997-01,0.628,
1997-02,0.587,
1997-03,0.764,
1997-04,0.832,
1997-05,0.770,
1997-06,0.833,
1997-07,0.886,
1997-08,0.841,
1997-09,0.801,
1997-10,0.852,
1997-11,0.899,
1997-12,0.886,
1998-01,0.898,
1998-02,0.858,
1998-03,0.928,
1998-04,1.044,
1998-05,0.995,
1998-06,0.977,
1998-07,0.914,
1998-08,0.609,
1998-09,0.627,
1998-10,0.659,
1998-11,0.682,
1998-12,0.662,
1999-01,0.620,
1999-02,0.631,
1999-03,0.689,
1999-04,0.689,
1999-05,0.727,
1999-06,0.677,
1999-07,0.724,
1999-08,0.780,
1999-09,0.714,
1999-10,0.678,
1999-11,0.794,
1999-12,0.802,
2000-01,0.922,
2000-02,0.928,
2000-03,1.002,
2000-04,1.018,
2000-05,1.011,
2000-06,1.113,
2000-07,1.192,
2000-08,1.195,
2000-09,1.374,
2000-10,1.323,
2000-11,1.387,
2000-12,1.414,
2001-01,1.382,
2001-02,1.453,
2001-03,1.803,
2001-04,2.126,
2001-05,2.313,
2001-06,2.783,
2001-07,2.834,
2001-08,2.999,
2001-09,3.003,
2001-10,3.075,
2001-11,3.177,
2001-12,3.023,
2002-01,3.070,
2002-02,3.100,
2002-03,3.046,
2002-04,2.748,
2002-05,2.816,
2002-06,2.920,
2002-07,2.967,
2002-08,2.923,
2002-09,3.109,
2002-10,2.829,
2002-11,2.848,
2002-12,2.947,
2003-01,3.155,
2003-02,2.830,
2003-03,2.955,
2003-04,2.839,
2003-05,2.820,
2003-06,2.903,
2003-07,2.826,
2003-08,2.886,
2003-09,2.704,
2003-10,2.629,
2003-11,2.849,
2003-12,2.513,
2004-01,2.307,
2004-02,2.278,
2004-03,2.461,
2004-04,2.408,
2004-05,2.410,
2004-06,2.587,
2004-07,2.519,
2004-08,2.287,
2004-09,2.351,
2004-10,2.316,
2004-11,2.380,
2004-12,2.410,
2005-01,2.080,
2005-02,1.912,
2005-03,2.029,
2005-04,2.072,
2005-05,2.117,
2005-06,2.084,
2005-07,2.018,
2005-08,2.005,
2005-09,2.038,
2005-10,1.935,
2005-11,2.083,
2005-12,2.257,
2006-01,2.294,
2006-02,2.339,
2006-03,2.452,
2006-04,2.372,
2006-05,2.746,
2006-06,2.882,
2006-07,2.705,
2006-08,2.740,
2006-09,2.702,
2006-10,2.792,
2006-11,2.782,
2006-12,2.709,
2007-01,2.708,
2007-02,2.652,
2007-03,2.797,
2007-04,2.126,
2007-05,2.193,
2007-06,2.415,
2007-07,2.409,
2007-08,2.567,
2007-09,2.440,
2007-10,2.456,
2007-11,2.490,
2007-12,2.404,
2008-01,2.367,
2008-02,2.378,
2008-03,2.454,
2008-04,2.396,
2008-05,2.423,
2008-06,2.502,
2008-07,2.530,
2008-08,2.705,
2008-09,2.784,
2008-10,3.031,
2008-11,2.934,
2008-12,2.892,
2009-01,2.826,
2009-02,2.802,
2009-03,2.775,
2009-04,2.704,
2009-05,2.698,
2009-06,2.626,
2009-07,2.662,
2009-08,2.495,
2009-09,2.634,
2009-10,2.653,
2009-11,2.763,
2009-12,2.849,
2010-01,2.827,
2010-02,2.767,
2010-03,2.847,
2010-04,2.926,
2010-05,2.898,
2010-06,3.141,
2010-07,3.193,
2010-08,2.989,
2010-09,3.137,
2010-10,3.244,
2010-11,3.580,
2010-12,3.638,
2011-01,3.644,
2011-02,3.500,
2011-03,3.770,
2011-04,3.646,
2011-05,3.661,
2011-06,3.791,
2011-07,3.890,
2011-08,3.837,
2011-09,3.912,
2011-10,3.365,
2011-11,3.563,
2011-12,3.651,
2012-01,3.529,
2012-02,3.606,
2012-03,3.704,
2012-04,3.636,
2012-05,3.601,
2012-06,3.779,
2012-07,3.743,
2012-08,3.754,
2012-09,3.947,
2012-10,3.786,
2012-11,4.099,
2012-12,4.212,
2013-01,4.239,
2013-02,4.176,
2013-03,4.362,
2013-04,4.263,
2013-05,4.139,
2013-06,4.081,
2013-07,4.188,
2013-08,4.295,
2013-09,4.441,
2013-10,4.254,
2013-11,4.051,
2013-12,4.361,
2014-01,4.115,
2014-02,4.085,
2014-03,4.098,
2014-04,4.053,
2014-05,4.016,
2014-06,4.163,
2014-07,4.065,
2014-08,4.081,
2014-09,4.175,
2014-10,4.383,
2014-11,4.256,
2014-12,4.569,
