"",BBK01.OEAE35V,BBK01.OEAE35V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:47,
2002-01,0.093,
2002-04,0.086,
2002-07,0.085,
2002-10,0.087,
2003-01,0.080,
2003-04,0.089,
2003-07,0.088,
2003-10,0.107,
2004-01,0.089,
2004-04,0.106,
2004-07,0.111,
2004-10,0.098,
2005-01,0.093,
2005-04,0.088,
2005-07,0.094,
2005-10,0.088,
2006-01,0.081,
2006-04,0.086,
2006-07,0.084,
2006-10,0.085,
2007-01,0.089,
2007-04,0.113,
2007-07,0.109,
2007-10,0.100,
2008-01,0.090,
2008-04,0.101,
2008-07,0.103,
2008-10,0.127,
2009-01,0.095,
2009-04,0.040,
2009-07,0.065,
2009-10,0.031,
2010-01,0.038,
2010-04,0.045,
2010-07,0.065,
2010-10,0.062,
2011-01,0.061,
2011-04,0.060,
2011-07,0.061,
2011-10,0.064,
2012-01,0.070,
2012-04,0.099,
2012-07,0.075,
2012-10,0.072,
2013-01,0.073,
2013-04,0.075,
2013-07,0.070,
2013-10,0.067,
2014-01,0.068,
2014-04,0.074,
2014-07,0.071,
