"",BBFB1.M.N.DE.W1.S1.S1.T.B.D4P___.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.D4P___.O.F._Z._T._X.N_FLAGS
"",Balance (Credits minus Debits) / Other investment income (acc. to BH3) / Total economy / Other Investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:26,
1991-01,1068.085,
1991-02,1080.147,
1991-03,1008.498,
1991-04,998.059,
1991-05,1037.170,
1991-06,1046.428,
1991-07,1064.114,
1991-08,1065.219,
1991-09,1084.919,
1991-10,1079.968,
1991-11,1083.870,
1991-12,1064.818,
1992-01,1067.808,
1992-02,1058.646,
1992-03,1041.576,
1992-04,1047.269,
1992-05,1039.199,
1992-06,1073.716,
1992-07,1080.906,
1992-08,1088.470,
1992-09,1085.816,
1992-10,1060.415,
1992-11,1044.833,
1992-12,1019.232,
1993-01,1017.540,
1993-02,1014.217,
1993-03,1022.463,
1993-04,1010.870,
1993-05,969.226,
1993-06,943.970,
1993-07,897.523,
1993-08,845.207,
1993-09,794.786,
1993-10,770.949,
1993-11,765.246,
1993-12,771.720,
1994-01,674.555,
1994-02,632.354,
1994-03,583.429,
1994-04,528.354,
1994-05,512.010,
1994-06,482.603,
1994-07,490.596,
1994-08,530.887,
1994-09,544.833,
1994-10,535.665,
1994-11,530.815,
1994-12,514.574,
1995-01,487.305,
1995-02,524.340,
1995-03,525.564,
1995-04,454.110,
1995-05,473.204,
1995-06,459.227,
1995-07,400.134,
1995-08,362.944,
1995-09,334.613,
1995-10,272.995,
1995-11,253.981,
1995-12,241.430,
1996-01,219.441,
1996-02,177.490,
1996-03,154.814,
1996-04,163.561,
1996-05,135.909,
1996-06,141.417,
1996-07,139.505,
1996-08,157.721,
1996-09,186.456,
1996-10,192.188,
1996-11,176.836,
1996-12,171.483,
1997-01,166.897,
1997-02,142.762,
1997-03,123.397,
1997-04,111.500,
1997-05,93.054,
1997-06,78.415,
1997-07,80.699,
1997-08,70.355,
1997-09,47.170,
1997-10,47.849,
1997-11,52.955,
1997-12,10.744,
1998-01,-56.883,
1998-02,-70.796,
1998-03,-63.885,
1998-04,-133.395,
1998-05,-154.092,
1998-06,-144.225,
1998-07,-217.547,
1998-08,-286.232,
1998-09,-312.199,
1998-10,-398.393,
1998-11,-448.804,
1998-12,-472.204,
1999-01,-634.900,
1999-02,-683.109,
1999-03,-743.078,
1999-04,-802.228,
1999-05,-817.589,
1999-06,-887.334,
1999-07,-895.300,
1999-08,-813.334,
1999-09,-808.342,
1999-10,-669.595,
1999-11,-621.544,
1999-12,-575.577,
2000-01,-631.335,
2000-02,-578.139,
2000-03,-603.590,
2000-04,-523.568,
2000-05,-513.228,
2000-06,-486.789,
2000-07,-443.638,
2000-08,-497.348,
2000-09,-473.258,
2000-10,-431.179,
2000-11,-439.339,
2000-12,-516.284,
2001-01,-611.577,
2001-02,-565.952,
2001-03,-513.590,
2001-04,-599.429,
2001-05,-624.143,
2001-06,-639.076,
2001-07,-712.355,
2001-08,-717.585,
2001-09,-759.943,
2001-10,-933.957,
2001-11,-950.346,
2001-12,-868.352,
2002-01,-836.871,
2002-02,-781.118,
2002-03,-713.619,
2002-04,-668.338,
2002-05,-595.512,
2002-06,-531.230,
2002-07,-559.975,
2002-08,-533.210,
2002-09,-422.129,
2002-10,-433.950,
2002-11,-391.248,
2002-12,-395.717,
