"",BBK01.OEHI09J,BBK01.OEHI09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:15,
2002-01,0.663,
2002-04,0.646,
2002-07,0.645,
2002-10,0.634,
2003-01,0.585,
2003-04,0.543,
2003-07,0.493,
2003-10,0.452,
2004-01,0.406,
2004-04,0.380,
2004-07,0.413,
2004-10,0.361,
2005-01,0.343,
2005-04,0.340,
2005-07,0.333,
2005-10,0.343,
2006-01,0.336,
2006-04,0.366,
2006-07,0.428,
2006-10,0.528,
2007-01,0.663,
2007-04,0.811,
2007-07,0.877,
2007-10,0.941,
2008-01,0.937,
2008-04,0.911,
2008-07,0.925,
2008-10,0.973,
2009-01,0.872,
2009-04,0.807,
2009-07,0.720,
2009-10,0.561,
2010-01,0.471,
2010-04,0.432,
2010-07,0.400,
2010-10,0.348,
2011-01,0.329,
2011-04,0.323,
2011-07,0.315,
2011-10,0.302,
2012-01,0.290,
2012-04,0.275,
2012-07,0.252,
2012-10,0.207,
2013-01,0.177,
2013-04,0.164,
2013-07,0.163,
2013-10,0.171,
2014-01,0.184,
2014-04,0.221,
2014-07,0.234,
