"",BBK01.OEBM03U,BBK01.OEBM03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:34,
2002-01,0.322,
2002-04,0.334,
2002-07,0.306,
2002-10,0.241,
2003-01,0.255,
2003-04,0.253,
2003-07,0.239,
2003-10,0.229,
2004-01,0.251,
2004-04,0.203,
2004-07,0.214,
2004-10,0.201,
2005-01,0.184,
2005-04,0.192,
2005-07,0.248,
2005-10,0.203,
2006-01,0.272,
2006-04,0.281,
2006-07,0.360,
2006-10,0.430,
2007-01,0.444,
2007-04,0.490,
2007-07,0.561,
2007-10,0.612,
2008-01,0.558,
2008-04,0.609,
2008-07,0.642,
2008-10,0.484,
2009-01,0.229,
2009-04,0.171,
2009-07,0.141,
2009-10,0.066,
2010-01,0.076,
2010-04,0.066,
2010-07,0.073,
2010-10,0.073,
2011-01,0.083,
2011-04,0.123,
2011-07,0.155,
2011-10,0.309,
2012-01,0.399,
2012-04,0.464,
2012-07,0.471,
2012-10,0.465,
2013-01,0.458,
2013-04,0.456,
2013-07,0.446,
2013-10,0.385,
2014-01,0.411,
2014-04,0.397,
2014-07,0.369,
