"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.NO.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.NO.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Norway,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:39,
2009-09,501,
2009-10,544,
2009-11,614,
2009-12,678,
2010-01,646,
2010-02,639,
2010-03,696,
2010-04,699,
2010-05,625,
2010-06,629,
2010-07,692,
2010-08,664,
2010-09,683,
2010-10,669,
2010-11,642,
2010-12,865,
2011-01,828,
2011-02,890,
2011-03,924,
2011-04,912,
2011-05,823,
2011-06,771,
2011-07,802,
2011-08,703,
2011-09,615,
2011-10,728,
2011-11,720,
2011-12,754,
2012-01,745,
2012-02,827,
2012-03,820,
2012-04,784,
2012-05,671,
2012-06,727,
2012-07,820,
2012-08,858,
2012-09,885,
2012-10,858,
2012-11,819,
2012-12,787,
2013-01,856,
2013-02,871,
2013-03,811,
2013-04,786,
2013-05,774,
2013-06,715,
2013-07,777,
2013-08,793,
2013-09,856,
2013-10,982,
2013-11,994,
2013-12,984,
2014-01,1026,
2014-02,1141,
2014-03,1252,
2014-04,1258,
2014-05,1266,
2014-06,1242,
2014-07,1276,
2014-08,1316,
2014-09,1325,
2014-10,1271,
2014-11,1193,
