"",BBDL1.M.DE.Y.UNE.UMZ001.A0000.A00.D11.0.R00.A,BBDL1.M.DE.Y.UNE.UMZ001.A0000.A00.D11.0.R00.A_FLAGS
"","EU-standardised employed persons / Germany / Residence concept / Men and women, total / Rate / Calendar and seasonally adjusted",
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:18:39,
2007-01,9.0,
2007-02,8.8,
2007-03,8.7,
2007-04,8.4,
2007-05,8.6,
2007-06,8.4,
2007-07,8.4,
2007-08,8.4,
2007-09,8.6,
2007-10,8.5,
2007-11,8.5,
2007-12,8.2,
2008-01,7.9,
2008-02,7.4,
2008-03,7.7,
2008-04,7.7,
2008-05,7.4,
2008-06,8.0,
2008-07,7.4,
2008-08,7.2,
2008-09,6.9,
2008-10,7.0,
2008-11,7.1,
2008-12,7.4,
2009-01,7.2,
2009-02,7.6,
2009-03,7.6,
2009-04,7.7,
2009-05,7.7,
2009-06,7.8,
2009-07,7.8,
2009-08,7.9,
2009-09,7.9,
2009-10,7.6,
2009-11,7.5,
2009-12,7.3,
2010-01,7.5,
2010-02,7.4,
2010-03,7.3,
2010-04,7.2,
2010-05,7.1,
2010-06,6.8,
2010-07,6.8,
2010-08,6.6,
2010-09,6.8,
2010-10,6.9,
2010-11,6.6,
2010-12,6.5,
2011-01,6.3,
2011-02,6.0,
2011-03,6.2,
2011-04,5.9,
2011-05,5.8,
2011-06,6.0,
2011-07,5.8,
2011-08,6.0,
2011-09,5.5,
2011-10,5.4,
2011-11,5.6,
2011-12,5.5,
2012-01,5.7,
2012-02,5.4,
2012-03,5.2,
2012-04,5.3,
2012-05,5.6,
2012-06,5.3,
2012-07,5.5,
2012-08,5.4,
2012-09,5.3,
2012-10,5.4,
2012-11,5.3,
2012-12,5.3,
2013-01,5.3,
2013-02,5.5,
2013-03,5.3,
2013-04,5.3,
2013-05,5.3,
2013-06,5.4,
2013-07,5.1,
2013-08,5.1,
2013-09,5.3,
2013-10,5.3,
2013-11,5.1,
2013-12,5.1,
2014-01,5.1,
2014-02,5.0,
2014-03,5.2,
2014-04,5.2,
2014-05,4.9,
2014-06,4.9,
2014-07,4.6,
2014-08,5.1,
2014-09,5.1,
2014-10,5.0,
2014-11,5.1,
2014-12,4.7,
2015-01,4.6,
