"",BBFB1.Q.N.DE.E14000.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:23,
1991-01,2315.695,
1991-04,2466.888,
1991-07,2775.441,
1991-10,2498.658,
1992-01,2290.536,
1992-04,2437.853,
1992-07,2806.188,
1992-10,2620.063,
1993-01,2221.551,
1993-04,2432.094,
1993-07,3010.231,
1993-10,2553.524,
1994-01,2497.559,
1994-04,2643.743,
1994-07,3238.635,
1994-10,2679.070,
1995-01,2638.987,
1995-04,2783.303,
1995-07,3503.487,
1995-10,2964.756,
1996-01,2724.285,
1996-04,2943.807,
1996-07,3701.349,
1996-10,3452.149,
1997-01,2964.144,
1997-04,3112.525,
1997-07,4033.833,
1997-10,3384.057,
1998-01,2938.587,
1998-04,3340.150,
1998-07,4175.211,
1998-10,3336.512,
1999-01,2940.867,
1999-04,3210.158,
1999-07,4045.026,
1999-10,3392.662,
2000-01,3284.610,
2000-04,3536.479,
2000-07,4480.997,
2000-10,3972.763,
2001-01,3662.061,
2001-04,3892.080,
2001-07,5293.898,
2001-10,4009.195,
2002-01,3590.298,
2002-04,3903.795,
2002-07,5161.917,
2002-10,4051.344,
2003-01,3264.643,
2003-04,3884.609,
2003-07,5430.448,
2003-10,4023.544,
2004-01,3609.859,
2004-04,4239.767,
2004-07,6026.708,
2004-10,4340.696,
2005-01,3740.603,
2005-04,4685.042,
2005-07,6059.833,
2005-10,5044.169,
2006-01,4204.857,
2006-04,4281.654,
2006-07,6221.039,
2006-10,4489.655,
2007-01,4348.247,
2007-04,5101.199,
2007-07,6765.111,
2007-10,5213.884,
2008-01,4754.450,
2008-04,5249.027,
2008-07,6619.105,
2008-10,4867.013,
2009-01,4082.180,
2009-04,4855.375,
2009-07,5979.411,
2009-10,4768.342,
2010-01,4742.214,
2010-04,5405.548,
2010-07,7113.155,
2010-10,5458.309,
2011-01,4740.885,
2011-04,5536.501,
2011-07,7386.602,
2011-10,5886.720,
2012-01,4905.746,
2012-04,5720.825,
2012-07,7254.435,
2012-10,6060.387,
2013-01,5128.073,
2013-04,6010.346,
2013-07,7557.860,
2013-10,6282.997,
2014-01,5244.211,Provisional value
2014-04,5978.305,Provisional value
2014-07,7927.287,Provisional value
