"",BBK01.OEXK05L,BBK01.OEXK05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:26,
2002-01,0.045,
2002-04,0.053,
2002-07,0.056,
2002-10,0.019,
2003-01,0.019,
2003-04,0.019,
2003-07,0.024,
2003-10,0.023,
2004-01,0.002,
2004-04,0.013,
2004-07,0.011,
2004-10,0.014,
2005-01,0.009,
2005-04,0.015,
2005-07,0.017,
2005-10,0.017,
2006-01,0.017,
2006-04,0.013,
2006-07,0.040,
2006-10,0.009,
2007-01,0.010,
2007-04,0.011,
2007-07,0.010,
2007-10,0.008,
2008-01,0.010,
2008-04,0.008,
2008-07,0.005,
2008-10,0.006,
2009-01,0.024,
2009-04,0.025,
2009-07,0.025,
2009-10,0.026,
2010-01,0.028,
2010-04,0.029,
2010-07,0.028,
2010-10,0.036,
2011-01,0.038,
2011-04,0.047,
2011-07,0.044,
2011-10,0.070,
2012-01,0.118,
2012-04,0.172,
2012-07,0.192,
2012-10,0.250,
2013-01,0.284,
2013-04,0.287,
2013-07,0.292,
2013-10,0.288,
2014-01,0.324,
2014-04,0.427,
2014-07,0.457,
