"",BBSF2.M.1.T.00000.DSO01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:00,
2009-09,379,
2009-10,334,
2009-11,319,
2009-12,455,
2010-01,382,
2010-02,329,
2010-03,299,
2010-04,348,
2010-05,417,
2010-06,515,
2010-07,446,
2010-08,490,
2010-09,502,
2010-10,392,
2010-11,508,
2010-12,402,
2011-01,476,
2011-02,488,
2011-03,437,
2011-04,389,
2011-05,557,
2011-06,438,
2011-07,521,
2011-08,691,
2011-09,767,
2011-10,724,
2011-11,781,
2011-12,618,
2012-01,434,
2012-02,460,
2012-03,388,
2012-04,365,
2012-05,458,
2012-06,426,
2012-07,417,
2012-08,405,
2012-09,427,
2012-10,370,
2012-11,497,
2012-12,390,
2013-01,529,
2013-02,325,
2013-03,286,
2013-04,300,
2013-05,352,
2013-06,507,
2013-07,377,
2013-08,474,
2013-09,373,
2013-10,366,
2013-11,354,
2013-12,401,
2014-01,556,
2014-02,353,
2014-03,335,
2014-04,296,
2014-05,325,
2014-06,407,
2014-07,368,
2014-08,455,
2014-09,584,
2014-10,508,
2014-11,369,
